"Precinct: 06001 ","Polling Place: ",1,,,"Precinct: 06002 ","Polling Place: ",1,,,"Precinct: 06003 ","Polling Place: ",1,,
,"Total Votes: ",,,295,,"Total Votes: ",,,427,,"Total Votes: ",,,175
"Precinct: 06010 ","Polling Place: ",1,,,"Precinct: 06010 ","Polling Place: ",2,,,"Precinct: 06011 ","Polling Place: ",1,,
"Guermue Palava Hut, Guermue ",,,,,"Guermue Palava Hut, Guermue ",,,,,"Kronenah, Kronenah",,,,
"Registered Voters: ",356,,,,"Registered Voters: ",384,,,,"Registered Voters: ",495,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,147,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,138,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,180
"WEAH, George Manneh (CDC) ",,,,31,"WEAH, George Manneh (CDC) ",,,,34,"WEAH, George Manneh (CDC) ",,,,55
,"Valid Votes: ",,,178,,"Valid Votes: ",,,172,,"Valid Votes: ",,,235
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,15,,"Invalid Votes: ",,,15
,"Total Votes: ",,,181,,"Total Votes: ",,,187,,"Total Votes: ",,,250
"Precinct: 06011 ","Polling Place: ",2,,,"Precinct: 06012 ","Polling Place: ",1,,,"Precinct: 06012 ","Polling Place: ",2,,
"Kronenah, Kronenah ",,,,,"Dulimue, Dulimue ",,,,,"Dulimue, Dulimue",,,,
"Registered Voters: ",523,,,,"Registered Voters: ",507,,,,"Registered Voters: ",468,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,183,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,195,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,153
"WEAH, George Manneh (CDC) ",,,,55,"WEAH, George Manneh (CDC) ",,,,40,"WEAH, George Manneh (CDC) ",,,,36
,"Valid Votes: ",,,238,,"Valid Votes: ",,,235,,"Valid Votes: ",,,189
,"Invalid Votes: ",,,20,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,7
,"Total Votes: ",,,258,,"Total Votes: ",,,243,,"Total Votes: ",,,196
"Precinct: 06013 ","Polling Place: ",1,,,"Precinct: 06014 ","Polling Place: ",1,,,"Precinct: 06014 ","Polling Place: ",2,,
"Mononkpanga Public School, Mononkpanga ",,,,,"Cuttington Campus, Cuttington Campus ",,,,,"Cuttington Campus, Cuttington Campus",,,,
"Registered Voters: ",434,,,,"Registered Voters: ",450,,,,"Registered Voters: ",428,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,101,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,252,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,230
"WEAH, George Manneh (CDC) ",,,,79,"WEAH, George Manneh (CDC) ",,,,52,"WEAH, George Manneh (CDC) ",,,,51
,"Valid Votes: ",,,180,,"Valid Votes: ",,,304,,"Valid Votes: ",,,281
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,8
,"Total Votes: ",,,188,,"Total Votes: ",,,306,,"Total Votes: ",,,289
"Precinct: 06014 ","Polling Place: ",3,,,"Precinct: 06015 ","Polling Place: ",1,,,"Precinct: 06015 ","Polling Place: ",2,,
"Cuttington Campus, Cuttington Campus ",,,,,"Phebe Compound, Phebe Compound ",,,,,"Phebe Compound, Phebe Compound",,,,
"Registered Voters: ",432,,,,"Registered Voters: ",471,,,,"Registered Voters: ",444,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,241,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,241,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,223
"WEAH, George Manneh (CDC) ",,,,50,"WEAH, George Manneh (CDC) ",,,,34,"WEAH, George Manneh (CDC) ",,,,33
,"Valid Votes: ",,,291,,"Valid Votes: ",,,275,,"Valid Votes: ",,,256
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,6
,"Total Votes: ",,,294,,"Total Votes: ",,,283,,"Total Votes: ",,,262
"Precinct: 06015 ","Polling Place: ",3,,,"Precinct: 06015 ","Polling Place: ",4,,,"Precinct: 06016 ","Polling Place: ",1,,
"Phebe Compound, Phebe Compound ",,,,,"Phebe Compound, Phebe Compound ",,,,,"Gbartala Para. Chief Office, Gbartala Tow n",,,,
"Registered Voters: ",468,,,,"Registered Voters: ",471,,,,"Registered Voters: ",562,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,219,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,225,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,207
"WEAH, George Manneh (CDC) ",,,,43,"WEAH, George Manneh (CDC) ",,,,43,"WEAH, George Manneh (CDC) ",,,,46
,"Valid Votes: ",,,262,,"Valid Votes: ",,,268,,"Valid Votes: ",,,253
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,8
,"Total Votes: ",,,266,,"Total Votes: ",,,273,,"Total Votes: ",,,261
"Precinct: 06016 ","Polling Place: ",2,,,"Precinct: 06016 ","Polling Place: ",3,,,"Precinct: 06016 ","Polling Place: ",4,,
"Gbartala Para. Chief Office, Gbartala Tow n ",,,,,"Gbartala Para. Chief Office, Gbartala Tow n ",,,,,"Gbartala Para. Chief Office, Gbartala Tow n",,,,
"Registered Voters: ",524,,,,"Registered Voters: ",498,,,,"Registered Voters: ",510,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,155,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,194,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,184
"WEAH, George Manneh (CDC) ",,,,51,"WEAH, George Manneh (CDC) ",,,,43,"WEAH, George Manneh (CDC) ",,,,50
,"Valid Votes: ",,,206,,"Valid Votes: ",,,237,,"Valid Votes: ",,,234
,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,2
,"Total Votes: ",,,217,,"Total Votes: ",,,244,,"Total Votes: ",,,236
"Precinct: 06016 ","Polling Place: ",5,,,"Precinct: 06017 ","Polling Place: ",1,,,"Precinct: 06017 ","Polling Place: ",2,,
"Gbartala Para. Chief Office, Gbartala Tow n ",,,,,"Umc School Building, Taylor Tow n ",,,,,"Umc School Building, Taylor Tow n",,,,
"Registered Voters: ",549,,,,"Registered Voters: ",570,,,,"Registered Voters: ",572,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,213,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,374,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,144
"WEAH, George Manneh (CDC) ",,,,50,"WEAH, George Manneh (CDC) ",,,,47,"WEAH, George Manneh (CDC) ",,,,61
,"Valid Votes: ",,,263,,"Valid Votes: ",,,421,,"Valid Votes: ",,,205
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,11
,"Total Votes: ",,,270,,"Total Votes: ",,,421,,"Total Votes: ",,,216
"Precinct: 06018 ","Polling Place: ",1,,,"Precinct: 06018 ","Polling Place: ",2,,,"Precinct: 06019 ","Polling Place: ",1,,
"Voloblai, Voloblai ",,,,,"Voloblai, Voloblai ",,,,,"Fenutoli Public School, Fenutoli Tow n",,,,
"Registered Voters: ",424,,,,"Registered Voters: ",434,,,,"Registered Voters: ",322,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,114,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,106,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,145
"WEAH, George Manneh (CDC) ",,,,44,"WEAH, George Manneh (CDC) ",,,,48,"WEAH, George Manneh (CDC) ",,,,51
,"Valid Votes: ",,,158,,"Valid Votes: ",,,154,,"Valid Votes: ",,,196
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,3
,"Total Votes: ",,,161,,"Total Votes: ",,,154,,"Total Votes: ",,,199
"Precinct: 06019 ","Polling Place: ",2,,,"Precinct: 06020 ","Polling Place: ",1,,,"Precinct: 06021 ","Polling Place: ",1,,
"Fenutoli Public School, Fenutoli Tow n ",,,,,"Duw ayeapulo Hut, Duw ayeapolu ",,,,,"Garyea Palava Hut, Garyea",,,,
"Registered Voters: ",328,,,,"Registered Voters: ",238,,,,"Registered Voters: ",504,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,117,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,68,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,163
"WEAH, George Manneh (CDC) ",,,,45,"WEAH, George Manneh (CDC) ",,,,24,"WEAH, George Manneh (CDC) ",,,,81
,"Valid Votes: ",,,162,,"Valid Votes: ",,,92,,"Valid Votes: ",,,244
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,4
,"Total Votes: ",,,170,,"Total Votes: ",,,94,,"Total Votes: ",,,248
"Precinct: 06021 ","Polling Place: ",2,,,"Precinct: 06022 ","Polling Place: ",1,,,"Precinct: 06023 ","Polling Place: ",1,,
"Garyea Palava Hut, Garyea ",,,,,"Tumata Public School, Tumata ",,,,,"Palala Palava Hut, Palala Tow n",,,,
"Registered Voters: ",538,,,,"Registered Voters: ",548,,,,"Registered Voters: ",564,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,144,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,169,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,211
"WEAH, George Manneh (CDC) ",,,,97,"WEAH, George Manneh (CDC) ",,,,24,"WEAH, George Manneh (CDC) ",,,,36
,"Valid Votes: ",,,241,,"Valid Votes: ",,,193,,"Valid Votes: ",,,247
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,12
,"Total Votes: ",,,250,,"Total Votes: ",,,196,,"Total Votes: ",,,259
"Precinct: 06024 ","Polling Place: ",1,,,"Precinct: 06024 ","Polling Place: ",2,,,"Precinct: 06024 ","Polling Place: ",3,,
"Zeansue Public School, Zeansue Tow n ",,,,,"Zeansue Public School, Zeansue Tow n ",,,,,"Zeansue Public School, Zeansue Tow n",,,,
"Registered Voters: ",456,,,,"Registered Voters: ",497,,,,"Registered Voters: ",464,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,132,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,144,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,109
"WEAH, George Manneh (CDC) ",,,,47,"WEAH, George Manneh (CDC) ",,,,50,"WEAH, George Manneh (CDC) ",,,,41
,"Valid Votes: ",,,179,,"Valid Votes: ",,,194,,"Valid Votes: ",,,150
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,17
,"Total Votes: ",,,184,,"Total Votes: ",,,199,,"Total Votes: ",,,167
"Precinct: 06024 ","Polling Place: ",4,,,"Precinct: 06025 ","Polling Place: ",1,,,"Precinct: 06026 ","Polling Place: ",1,,
"Zeansue Public School, Zeansue Tow n ",,,,,"Tarseai Palava Tow n, Tarseai Tow n ",,,,,"Garney Hut, Garney",,,,
"Registered Voters: ",454,,,,"Registered Voters: ",326,,,,"Registered Voters: ",417,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,113,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,88,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,202
"WEAH, George Manneh (CDC) ",,,,54,"WEAH, George Manneh (CDC) ",,,,42,"WEAH, George Manneh (CDC) ",,,,85
,"Valid Votes: ",,,167,,"Valid Votes: ",,,130,,"Valid Votes: ",,,287
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,3
,"Total Votes: ",,,175,,"Total Votes: ",,,132,,"Total Votes: ",,,290
"Precinct: 06027 ","Polling Place: ",1,,,"Precinct: 06027 ","Polling Place: ",2,,,"Precinct: 06028 ","Polling Place: ",1,,
"Kolila Public School, Kolila ",,,,,"Kolila Public School, Kolila ",,,,,"Gbonkonimah Hut, Gbonkonimah",,,,
"Registered Voters: ",530,,,,"Registered Voters: ",541,,,,"Registered Voters: ",504,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,234,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,245,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,149
"WEAH, George Manneh (CDC) ",,,,57,"WEAH, George Manneh (CDC) ",,,,65,"WEAH, George Manneh (CDC) ",,,,64
,"Valid Votes: ",,,291,,"Valid Votes: ",,,310,,"Valid Votes: ",,,213
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,6
,"Total Votes: ",,,300,,"Total Votes: ",,,318,,"Total Votes: ",,,219
"Precinct: 06028 ","Polling Place: ",2,,,"Precinct: 06028 ","Polling Place: ",3,,,"Precinct: 06029 ","Polling Place: ",1,,
"Gbonkonimah Hut, Gbonkonimah ",,,,,"Gbonkonimah Hut, Gbonkonimah ",,,,,"Kayata Sda Church, Kayata Tow n",,,,
"Registered Voters: ",466,,,,"Registered Voters: ",497,,,,"Registered Voters: ",575,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,124,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,111,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,197
"WEAH, George Manneh (CDC) ",,,,70,"WEAH, George Manneh (CDC) ",,,,94,"WEAH, George Manneh (CDC) ",,,,23
,"Valid Votes: ",,,194,,"Valid Votes: ",,,205,,"Valid Votes: ",,,220
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,17,,"Invalid Votes: ",,,3
,"Total Votes: ",,,196,,"Total Votes: ",,,222,,"Total Votes: ",,,223
"Precinct: 06029 ","Polling Place: ",2,,,"Precinct: 06030 ","Polling Place: ",1,,,"Precinct: 06031 ","Polling Place: ",1,,
"Kayata Sda Church, Kayata Tow n ",,,,,"Raymund Tow n Lutheran Church, Raymund Tow n ",,,,,"Gokai Public School, Gokai",,,,
"Registered Voters: ",583,,,,"Registered Voters: ",551,,,,"Registered Voters: ",446,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,206,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,204,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,90
"WEAH, George Manneh (CDC) ",,,,20,"WEAH, George Manneh (CDC) ",,,,108,"WEAH, George Manneh (CDC) ",,,,107
,"Valid Votes: ",,,226,,"Valid Votes: ",,,312,,"Valid Votes: ",,,197
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,16
,"Total Votes: ",,,231,,"Total Votes: ",,,324,,"Total Votes: ",,,213
"Precinct: 06031 ","Polling Place: ",2,,,"Precinct: 06032 ","Polling Place: ",1,,,"Precinct: 06032 ","Polling Place: ",2,,
"Gokai Public School, Gokai ",,,,,"Gbarnla Tow n, Ganlah Tow n ",,,,,"Gbarnla Tow n, Ganlah Tow n",,,,
"Registered Voters: ",471,,,,"Registered Voters: ",341,,,,"Registered Voters: ",338,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,66,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,123,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,99
"WEAH, George Manneh (CDC) ",,,,131,"WEAH, George Manneh (CDC) ",,,,17,"WEAH, George Manneh (CDC) ",,,,19
,"Valid Votes: ",,,197,,"Valid Votes: ",,,140,,"Valid Votes: ",,,118
,"Invalid Votes: ",,,17,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,4
,"Total Votes: ",,,214,,"Total Votes: ",,,141,,"Total Votes: ",,,122
"Precinct: 06033 ","Polling Place: ",1,,,"Precinct: 06033 ","Polling Place: ",2,,,"Precinct: 06033 ","Polling Place: ",3,,
"Suakoko Tow n Hall, Suakoko Tow n ",,,,,"Suakoko Tow n Hall, Suakoko Tow n ",,,,,"Suakoko Tow n Hall, Suakoko Tow n",,,,
"Registered Voters: ",566,,,,"Registered Voters: ",572,,,,"Registered Voters: ",592,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,177,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,177,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,188
"WEAH, George Manneh (CDC) ",,,,38,"WEAH, George Manneh (CDC) ",,,,37,"WEAH, George Manneh (CDC) ",,,,41
,"Valid Votes: ",,,215,,"Valid Votes: ",,,214,,"Valid Votes: ",,,229
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,13
,"Total Votes: ",,,216,,"Total Votes: ",,,218,,"Total Votes: ",,,242
"Precinct: 06033 ","Polling Place: ",4,,,"Precinct: 06034 ","Polling Place: ",1,,,"Precinct: 06034 ","Polling Place: ",2,,
"Suakoko Tow n Hall, Suakoko Tow n ",,,,,"Suakoko Central High School, Suakoko Tow n ",,,,,"Suakoko Central High School, Suakoko Tow n",,,,
"Registered Voters: ",539,,,,"Registered Voters: ",605,,,,"Registered Voters: ",573,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,165,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,147,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,125
"WEAH, George Manneh (CDC) ",,,,37,"WEAH, George Manneh (CDC) ",,,,52,"WEAH, George Manneh (CDC) ",,,,39
,"Valid Votes: ",,,202,,"Valid Votes: ",,,199,,"Valid Votes: ",,,164
,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,14
,"Total Votes: ",,,214,,"Total Votes: ",,,206,,"Total Votes: ",,,178
"Precinct: 06035 ","Polling Place: ",1,,,"Precinct: 06035 ","Polling Place: ",2,,,"Precinct: 06035 ","Polling Place: ",3,,
"Skt Market Hall, Sgt. Kollie Tow nw ",,,,,"Skt Market Hall, Sgt. Kollie Tow nw ",,,,,"Skt Market Hall, Sgt. Kollie Tow nw",,,,
"Registered Voters: ",498,,,,"Registered Voters: ",488,,,,"Registered Voters: ",492,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,202,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,227,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,203
"WEAH, George Manneh (CDC) ",,,,84,"WEAH, George Manneh (CDC) ",,,,79,"WEAH, George Manneh (CDC) ",,,,95
,"Valid Votes: ",,,286,,"Valid Votes: ",,,306,,"Valid Votes: ",,,298
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,8
,"Total Votes: ",,,295,,"Total Votes: ",,,311,,"Total Votes: ",,,306
"Precinct: 06036 ","Polling Place: ",1,,,"Precinct: 06037 ","Polling Place: ",1,,,"Precinct: 06038 ","Polling Place: ",1,,
"Kankalan Palava Hut, Kankalan Tow n ",,,,,"Zulu Hill Palava Hut, Zulu Hills ",,,,,"Haindii Palava Hut, Haindii",,,,
"Registered Voters: ",538,,,,"Registered Voters: ",512,,,,"Registered Voters: ",502,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
