Precinct: 24001 ,Polling Place: ,1 ,"","","","",Total: 468 ,Age 18-27: 34.4% ,Age 48-57: ,"","",11.3%,""
"WEAH, George Manneh (CDC) ","","",57,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",1,"","","","","","","","","",""
"",Valid Votes: ,"",279,"","","","","","","","","",""
"",Invalid Votes: ,"",12,"","","","","","","","","",""
"",Total Votes: ,"",291,"","","","","","","","","",""
Precinct: 24002 ,Polling Place: ,1 ,"","","","",Total: 500 ,Age 18-27: 31.0% ,Age 48-57: ,"","",8.6%,""
"Marker Public School, Sherman Farm 1, Margibi ","","","","","","",Males: 52.8% Females: 47.2% ,Age 28-37: 26.2% Age 38-47: 20.2% ,Age 58-67: Age 68+: ,"","",6.0%8.0%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Margibi ,"","","Margibi, Electoral District 1","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",10 ,"BENNIE, Charles D. (RULP) ","",81 ,"CEMBIANOR, Nyumah Tamba (CDC) ","","","","","",276
"BRUMSKINE, Charles Walker (LP) ","","",4 ,"BOWIER, Joseph Jensen (UP) ","",28 ,"COOPER, Joseph Saah (NPP) ","","","","","",12
"CONNEH, Sekou Damate (PRODEM) ","","",3 ,"DAVIS, Bestus Peter (NPP) ","",22 ,"FOFANAH, Sansee Karpeh (UP) ","","","","","",14
"DIVINE, SR., Samuel Raymond (Ind) ","","",3 ,"DENNIS, William E. (UP) ","",32 ,"LORYEE, Henry B. (LP) ","","","","","",12
"FARHAT, David M. (FDP) ","","",5 ,"FAHN, Sampson Bedell (NPP) ","",19 ,"NUQUAY, Emmanuel James (Ind) ","","","","","",16
"JALLAH, Armah Zolu (NPL) ","","",1 ,"GARNEO, Abraham B.Y. Jusu (APD) ","",16 ,"SHERIFF, Tejan Cheik (NRP) ","","","","","",3
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",23 ,"GARWON, A. Sylvester  (CDC) ","",51 ,"SONII, Dao Ansu (COTOL) ","","","","","",10
"KIADII, George Momodu (NATVIPOL) ","","",0 ,"JAH, Clarice Alpha (LP) ","",75 ,"",Valid Votes: ,"","","","",343
"KIEH, JR., George Klay (NDM) ","","",11 ,"KAINE, Roland Cooper (CDC) ","",140 ,"",Invalid Votes: ,"","","","",37
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"KROMAH, Mohamed Taqii (NRP) ","",11 ,"",Total Votes: ,"","","","",380
"KPOTO, Robert Momo (ULD) ","","",0 ,"LEITAL, Joe Roberts (COTOL) ","",40,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",0 ,"MULBAH, SR., Michael S. (COTOL) ","",8,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",2 ,"NEBLETT, James Adof (NRP) ","",16,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",0 ,"PENNEH, John M. (NDPL) ","",49,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",0 ,"TOWNSEND, Clarence Benjamin (RULP) ","",10,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",8 ,"WYMON, Benjamin Kolo-V. (LP) ","",12,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",2 ,"",Valid Votes: ,610,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",7 ,"",Invalid Ballots: ,23,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",21 ,"",Valid Votes + Invalid Ballots: ,633,"","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",170,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",84,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",4,"","","","","","","","","",""
"",Valid Votes: ,"",359,"","","","","","","","","",""
"",Invalid Votes: ,"",21,"","","","","","","","","",""
"",Total Votes: ,"",380,"","","","","","","","","",""
Precinct: 24003 ,Polling Place: ,1 ,"","","","","",Total: 224 ,Age 18-27: 25.0% ,Age 48-57: ,"","",11.6%,""
"Palava Hut, Sherman Farm 1, Margibi ","","","","","","","",Males: 55.4% Females: 44.6% ,Age 28-37: 23.7% Age 38-47: 19.2% ,Age 58-67: Age 68+: ,"","",8.0%12.5%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Margibi ,"","","Margibi, Electoral District 1","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",2 ,"BENNIE, Charles D. (RULP) ","",9 ,"CEMBIANOR, Nyumah Tamba (CDC) ","","","","","",14
"BRUMSKINE, Charles Walker (LP) ","","","",6 ,"BOWIER, Joseph Jensen (UP) ","",9 ,"COOPER, Joseph Saah (NPP) ","","","","","",13
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"DAVIS, Bestus Peter (NPP) ","",10 ,"FOFANAH, Sansee Karpeh (UP) ","","","","","",22
"DIVINE, SR., Samuel Raymond (Ind) ","","","",1 ,"DENNIS, William E. (UP) ","",20 ,"LORYEE, Henry B. (LP) ","","","","","",5
"FARHAT, David M. (FDP) ","","","",1 ,"FAHN, Sampson Bedell (NPP) ","",17 ,"NUQUAY, Emmanuel James (Ind) ","","","","","",23
"JALLAH, Armah Zolu (NPL) ","","","",1 ,"GARNEO, Abraham B.Y. Jusu (APD) ","",7 ,"SHERIFF, Tejan Cheik (NRP) ","","","","","",4
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",29 ,"GARWON, A. Sylvester  (CDC) ","",13 ,"SONII, Dao Ansu (COTOL) ","","","","","",19
"KIADII, George Momodu (NATVIPOL) ","","","",1 ,"JAH, Clarice Alpha (LP) ","",35 ,"",Valid Votes: ,"","","","",100
"KIEH, JR., George Klay (NDM) ","","","",1 ,"KAINE, Roland Cooper (CDC) ","",32 ,"",Invalid Votes: ,"","","","",63
"KORTO, Joseph D. Z. (LERP) ","","","",0 ,"KROMAH, Mohamed Taqii (NRP) ","",12 ,"",Total Votes: ,"","","","",163
"KPOTO, Robert Momo (ULD) ","","","",1 ,"LEITAL, Joe Roberts (COTOL) ","",28,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",3 ,"MULBAH, SR., Michael S. (COTOL) ","",17,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",10 ,"NEBLETT, James Adof (NRP) ","",2,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"PENNEH, John M. (NDPL) ","",13,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",3 ,"TOWNSEND, Clarence Benjamin (RULP) ","",3,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",13 ,"WYMON, Benjamin Kolo-V. (LP) ","",5,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",0 ,"",Valid Votes: ,232,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",12 ,"",Invalid Ballots: ,33,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",3 ,"",Valid Votes + Invalid Ballots: ,265,"","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",10,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",14,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",1,"","","","","","","","","",""
"",Valid Votes: ,"","",112,"","","","","","","","","",""
"",Invalid Votes: ,"","",58,"","","","","","","","","",""
"",Total Votes: ,"","",170,"","","","","","","","","",""
Precinct: 24004 ,Polling Place: ,1 ,"","","","","",Total: 303 ,Age 18-27: 36.3% ,Age 48-57: ,"","",5.9%,""
"Palava Hut, Sherman Farm 1, Margibi ","","","","","","","",Males: 51.2% Females: 48.8% ,Age 28-37: 26.1% Age 38-47: 19.5% ,Age 58-67: Age 68+: ,"","",3.6%8.6%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Margibi ,"","","Margibi, Electoral District 1","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",1 ,"BENNIE, Charles D. (RULP) ","",10 ,"CEMBIANOR, Nyumah Tamba (CDC) ","","","","","",17
"BRUMSKINE, Charles Walker (LP) ","","","",9 ,"BOWIER, Joseph Jensen (UP) ","",11 ,"COOPER, Joseph Saah (NPP) ","","","","","",13
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"DAVIS, Bestus Peter (NPP) ","",12 ,"FOFANAH, Sansee Karpeh (UP) ","","","","","",85
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DENNIS, William E. (UP) ","",36 ,"LORYEE, Henry B. (LP) ","","","","","",5
"FARHAT, David M. (FDP) ","","","",0 ,"FAHN, Sampson Bedell (NPP) ","",15 ,"NUQUAY, Emmanuel James (Ind) ","","","","","",54
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"GARNEO, Abraham B.Y. Jusu (APD) ","",2 ,"SHERIFF, Tejan Cheik (NRP) ","","","","","",2
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",48 ,"GARWON, A. Sylvester  (CDC) ","",49 ,"SONII, Dao Ansu (COTOL) ","","","","","",8
"KIADII, George Momodu (NATVIPOL) ","","","",1 ,"JAH, Clarice Alpha (LP) ","",48 ,"",Valid Votes: ,"","","","",184
"KIEH, JR., George Klay (NDM) ","","","",0 ,"KAINE, Roland Cooper (CDC) ","",101 ,"",Invalid Votes: ,"","","","",4
"KORTO, Joseph D. Z. (LERP) ","","","",0 ,"KROMAH, Mohamed Taqii (NRP) ","",24 ,"",Total Votes: ,"","","","",188
"KPOTO, Robert Momo (ULD) ","","","",1 ,"LEITAL, Joe Roberts (COTOL) ","",18,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",1 ,"MULBAH, SR., Michael S. (COTOL) ","",9,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",4 ,"NEBLETT, James Adof (NRP) ","",5,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"PENNEH, John M. (NDPL) ","",14,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",2 ,"TOWNSEND, Clarence Benjamin (RULP) ","",3,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",3 ,"WYMON, Benjamin Kolo-V. (LP) ","",7,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",0 ,"",Valid Votes: ,364,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",16 ,"",Invalid Ballots: ,2,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",8 ,"",Valid Votes + Invalid Ballots: ,366,"","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",24,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",65,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",2,"","","","","","","","","",""
"",Valid Votes: ,"","",185,"","","","","","","","","",""
"",Invalid Votes: ,"","",7,"","","","","","","","","",""
"",Total Votes: ,"","",192,"","","","","","","","","",""
Precinct: 24004 ,Polling Place: ,2 ,"","","","","",Total: 345 ,Age 18-27: 33.9% ,Age 48-57: ,"","",9.9%,""
"Palava Hut, Sherman Farm 1, Margibi ","","","","","","","",Males: 53.0% Females: 47.0% ,Age 28-37: 24.9% Age 38-47: 18.0% ,Age 58-67: Age 68+: ,"","",5.2%8.1%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Margibi ,"","","Margibi, Electoral District 1","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",17 ,"BENNIE, Charles D. (RULP) ","",23 ,"CEMBIANOR, Nyumah Tamba (CDC) ","","","","","",44
"BRUMSKINE, Charles Walker (LP) ","","","",17 ,"BOWIER, Joseph Jensen (UP) ","",12 ,"COOPER, Joseph Saah (NPP) ","","","","","",15
"CONNEH, Sekou Damate (PRODEM) ","","","",3 ,"DAVIS, Bestus Peter (NPP) ","",17 ,"FOFANAH, Sansee Karpeh (UP) ","","","","","",36
"DIVINE, SR., Samuel Raymond (Ind) ","","","",2 ,"DENNIS, William E. (UP) ","",26 ,"LORYEE, Henry B. (LP) ","","","","","",21
"FARHAT, David M. (FDP) ","","","",2 ,"FAHN, Sampson Bedell (NPP) ","",12 ,"NUQUAY, Emmanuel James (Ind) ","","","","","",65
"JALLAH, Armah Zolu (NPL) ","","","",1 ,"GARNEO, Abraham B.Y. Jusu (APD) ","",6 ,"SHERIFF, Tejan Cheik (NRP) ","","","","","",12
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",58 ,"GARWON, A. Sylvester  (CDC) ","",22 ,"SONII, Dao Ansu (COTOL) ","","","","","",19
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"JAH, Clarice Alpha (LP) ","",44 ,"",Valid Votes: ,"","","","",212
"KIEH, JR., George Klay (NDM) ","","","",2 ,"KAINE, Roland Cooper (CDC) ","",70 ,"",Invalid Votes: ,"","","","",34
