"Precinct: 03001 ","Polling Place: ",1,,,,,"Total: 469 ","Age 18-27: 46.1% ","Age 48-57: ",,,"7.9%",,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,6,"VINCENT, Lincoln  (LDP) ",,17,,,,,,,,
"MORLU, John Sembe (UDA) ",,,14,"WASHINGTON, Hajah Sheri (COTOL) ",,47,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,2,,"Valid Votes: ",575,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,36,,"Invalid Ballots: ",24,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,1,,"Valid Votes + Invalid Ballots: ",599,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,10,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,10,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,37,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,77,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,3,,,,,,,,,,,
,"Valid Votes: ",,333,,,,,,,,,,,
,"Invalid Votes: ",,28,,,,,,,,,,,
,"Total Votes: ",,361,,,,,,,,,,,
"Precinct: 03001 ","Polling Place: ",2,,,,,"Total: 490 ","Age 18-27: 47.3% ","Age 48-57: ",,,"6.5%",,
"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",,,,,,,"Males: 52.9% Females: 47.1% ","Age 28-37: 23.3% Age 38-47: 14.5% ","Age 58-67: Age 68+: ",,,"3.9%4.5%",,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Bomi ",,,"Bomi, Electoral District 3",,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,5,"ANDERSON, Alfred Boimah (NPP) ",,55,"COOPER, Tarnue H. (CDC) ",,,,,,110,
"BRUMSKINE, Charles Walker (LP) ",,,15,"BALLOH, Musah  (ALCOP) ",,19,"DAVIS, Ernest Gray (COTOL) ",,,,,,96,
"CONNEH, Sekou Damate (PRODEM) ",,,2,"BENSON, Rebecca T. (LP) ",,62,"HOLMES, JR., Joseph Boakai (NDM) ",,,,,,22,
"DIVINE, SR., Samuel Raymond (Ind) ",,,1,"BROWN, Samuel Njalbae (LP) ",,30,"KARNLEY, Gbilley Dougba (NPP) ",,,,,,50,
"FARHAT, David M. (FDP) ",,,1,"DEVINE, Richard Blamah (COTOL) ",,145,"KOLLIE, John Zoebohn (LP) ",,,,,,20,
"JALLAH, Armah Zolu (NPL) ",,,5,"JOHNSON, Sando Dazoe (NPP) ",,27,"SIRLEAF, Sando Gaiyah (LDP) ",,,,,,24,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,99,"KO-JUAH, Amos Boima (UP) ",,30,"TARWEH, Seth Momo (PRODEM) ",,,,,,6,
"KIADII, George Momodu (NATVIPOL) ",,,1,"LANSANAH, Lahai Gbabye (NDPL) ",,74,"TIPAYSON, Oretha Maviayer (RULP) ",,,,,,18,
"KIEH, JR., George Klay (NDM) ",,,0,"MASSALEY, Mohammed Aliu (UP) ",,29,,"Valid Votes: ",,,,,346,
"KORTO, Joseph D. Z. (LERP) ",,,0,"SANDO, G. Aaron (NDPL) ",,25,,"Invalid Votes: ",,,,,15,
"KPOTO, Robert Momo (ULD) ",,,0,"SARNOR, Faliku G. (CDC) ",,32,,"Total Votes: ",,,,,361,
"KROMAH, Alhaji G. V. (ALCOP) ",,,2,"VINCENT, Erik Bauman (APD) ",,12,,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,6,"VINCENT, Lincoln  (LDP) ",,28,,,,,,,,
"MORLU, John Sembe (UDA) ",,,14,"WASHINGTON, Hajah Sheri (COTOL) ",,43,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,3,,"Valid Votes: ",611,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,49,,"Invalid Ballots: ",27,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,2,,"Valid Votes + Invalid Ballots: ",638,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,11,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,19,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,35,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,83,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,353,,,,,,,,,,,
,"Invalid Votes: ",,15,,,,,,,,,,,
,"Total Votes: ",,368,,,,,,,,,,,
"Precinct: 03001 ","Polling Place: ",3,,,,,"Total: 485 ","Age 18-27: 42.5% ","Age 48-57: ",,,"8.5%",,
"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",,,,,,,"Males: 54.6% Females: 45.4% ","Age 28-37: 26.8% Age 38-47: 15.3% ","Age 58-67: Age 68+: ",,,"4.5%2.5%",,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Bomi ",,,"Bomi, Electoral District 3",,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,8,"ANDERSON, Alfred Boimah (NPP) ",,37,"COOPER, Tarnue H. (CDC) ",,,,,,110,
"BRUMSKINE, Charles Walker (LP) ",,,14,"BALLOH, Musah  (ALCOP) ",,11,"DAVIS, Ernest Gray (COTOL) ",,,,,,100,
"CONNEH, Sekou Damate (PRODEM) ",,,2,"BENSON, Rebecca T. (LP) ",,76,"HOLMES, JR., Joseph Boakai (NDM) ",,,,,,16,
"DIVINE, SR., Samuel Raymond (Ind) ",,,2,"BROWN, Samuel Njalbae (LP) ",,24,"KARNLEY, Gbilley Dougba (NPP) ",,,,,,37,
"FARHAT, David M. (FDP) ",,,1,"DEVINE, Richard Blamah (COTOL) ",,121,"KOLLIE, John Zoebohn (LP) ",,,,,,16,
"JALLAH, Armah Zolu (NPL) ",,,1,"JOHNSON, Sando Dazoe (NPP) ",,20,"SIRLEAF, Sando Gaiyah (LDP) ",,,,,,29,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,91,"KO-JUAH, Amos Boima (UP) ",,14,"TARWEH, Seth Momo (PRODEM) ",,,,,,3,
"KIADII, George Momodu (NATVIPOL) ",,,2,"LANSANAH, Lahai Gbabye (NDPL) ",,78,"TIPAYSON, Oretha Maviayer (RULP) ",,,,,,20,
"KIEH, JR., George Klay (NDM) ",,,0,"MASSALEY, Mohammed Aliu (UP) ",,33,,"Valid Votes: ",,,,,331,
"KORTO, Joseph D. Z. (LERP) ",,,0,"SANDO, G. Aaron (NDPL) ",,12,,"Invalid Votes: ",,,,,18,
"KPOTO, Robert Momo (ULD) ",,,0,"SARNOR, Faliku G. (CDC) ",,31,,"Total Votes: ",,,,,349,
"KROMAH, Alhaji G. V. (ALCOP) ",,,2,"VINCENT, Erik Bauman (APD) ",,11,,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,7,"VINCENT, Lincoln  (LDP) ",,16,,,,,,,,
"MORLU, John Sembe (UDA) ",,,15,"WASHINGTON, Hajah Sheri (COTOL) ",,35,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,3,,"Valid Votes: ",519,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,37,,"Invalid Ballots: ",6,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,1,,"Valid Votes + Invalid Ballots: ",525,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,19,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,17,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,30,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,82,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,1,,,,,,,,,,,
,"Valid Votes: ",,335,,,,,,,,,,,
,"Invalid Votes: ",,14,,,,,,,,,,,
,"Total Votes: ",,349,,,,,,,,,,,
"Precinct: 03003 ","Polling Place: ",1,,,,,,"Total: 497 ","Age 18-27: 37.2% ","Age 48-57: ",,,"7.4%",
"COURT HOUSE, TUBMANBURG, Bomi ",,,,,,,,"Males: 48.9% Females: 51.1% ","Age 28-37: 28.0% Age 38-47: 16.1% ","Age 58-67: Age 68+: ",,,"7.2%4.0%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Bomi ",,,"Bomi, Electoral District 3",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,8,"ANDERSON, Alfred Boimah (NPP) ",,41,"COOPER, Tarnue H. (CDC) ",,,,,,100
"BRUMSKINE, Charles Walker (LP) ",,,,15,"BALLOH, Musah  (ALCOP) ",,37,"DAVIS, Ernest Gray (COTOL) ",,,,,,40
"CONNEH, Sekou Damate (PRODEM) ",,,,5,"BENSON, Rebecca T. (LP) ",,81,"HOLMES, JR., Joseph Boakai (NDM) ",,,,,,48
"DIVINE, SR., Samuel Raymond (Ind) ",,,,1,"BROWN, Samuel Njalbae (LP) ",,36,"KARNLEY, Gbilley Dougba (NPP) ",,,,,,34
"FARHAT, David M. (FDP) ",,,,0,"DEVINE, Richard Blamah (COTOL) ",,83,"KOLLIE, John Zoebohn (LP) ",,,,,,32
"JALLAH, Armah Zolu (NPL) ",,,,6,"JOHNSON, Sando Dazoe (NPP) ",,29,"SIRLEAF, Sando Gaiyah (LDP) ",,,,,,31
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,88,"KO-JUAH, Amos Boima (UP) ",,23,"TARWEH, Seth Momo (PRODEM) ",,,,,,14
"KIADII, George Momodu (NATVIPOL) ",,,,3,"LANSANAH, Lahai Gbabye (NDPL) ",,83,"TIPAYSON, Oretha Maviayer (RULP) ",,,,,,22
"KIEH, JR., George Klay (NDM) ",,,,0,"MASSALEY, Mohammed Aliu (UP) ",,44,,"Valid Votes: ",,,,,321
"KORTO, Joseph D. Z. (LERP) ",,,,0,"SANDO, G. Aaron (NDPL) ",,32,,"Invalid Votes: ",,,,,29
"KPOTO, Robert Momo (ULD) ",,,,0,"SARNOR, Faliku G. (CDC) ",,41,,"Total Votes: ",,,,,350
"KROMAH, Alhaji G. V. (ALCOP) ",,,,17,"VINCENT, Erik Bauman (APD) ",,27,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,9,"VINCENT, Lincoln  (LDP) ",,25,,,,,,,
"MORLU, John Sembe (UDA) ",,,,7,"WASHINGTON, Hajah Sheri (COTOL) ",,26,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,3,,"Valid Votes: ",608,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,22,,"Invalid Ballots: ",15,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,2,,"Valid Votes + Invalid Ballots: ",623,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,20,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,7,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,37,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,81,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,3,,,,,,,,,,
,"Valid Votes: ",,,334,,,,,,,,,,
,"Invalid Votes: ",,,16,,,,,,,,,,
,"Total Votes: ",,,350,,,,,,,,,,
"Precinct: 03003 ","Polling Place: ",2,,,,,,"Total: 473 ","Age 18-27: 37.4% ","Age 48-57: ",,,"7.2%",
"COURT HOUSE, TUBMANBURG, Bomi ",,,,,,,,"Males: 48.8% Females: 51.2% ","Age 28-37: 22.4% Age 38-47: 18.8% ","Age 58-67: Age 68+: ",,,"7.4%6.8%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Bomi ",,,"Bomi, Electoral District 3",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,3,"ANDERSON, Alfred Boimah (NPP) ",,37,"COOPER, Tarnue H. (CDC) ",,,,,,81
"BRUMSKINE, Charles Walker (LP) ",,,,17,"BALLOH, Musah  (ALCOP) ",,35,"DAVIS, Ernest Gray (COTOL) ",,,,,,47
"CONNEH, Sekou Damate (PRODEM) ",,,,8,"BENSON, Rebecca T. (LP) ",,61,"HOLMES, JR., Joseph Boakai (NDM) ",,,,,,54
"DIVINE, SR., Samuel Raymond (Ind) ",,,,1,"BROWN, Samuel Njalbae (LP) ",,33,"KARNLEY, Gbilley Dougba (NPP) ",,,,,,36
"FARHAT, David M. (FDP) ",,,,6,"DEVINE, Richard Blamah (COTOL) ",,80,"KOLLIE, John Zoebohn (LP) ",,,,,,28
"JALLAH, Armah Zolu (NPL) ",,,,4,"JOHNSON, Sando Dazoe (NPP) ",,13,"SIRLEAF, Sando Gaiyah (LDP) ",,,,,,19
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,92,"KO-JUAH, Amos Boima (UP) ",,24,"TARWEH, Seth Momo (PRODEM) ",,,,,,11
"KIADII, George Momodu (NATVIPOL) ",,,,4,"LANSANAH, Lahai Gbabye (NDPL) ",,17,"TIPAYSON, Oretha Maviayer (RULP) ",,,,,,21
"KIEH, JR., George Klay (NDM) ",,,,1,"MASSALEY, Mohammed Aliu (UP) ",,56,,"Valid Votes: ",,,,,297
"KORTO, Joseph D. Z. (LERP) ",,,,1,"SANDO, G. Aaron (NDPL) ",,19,,"Invalid Votes: ",,,,,19
"KPOTO, Robert Momo (ULD) ",,,,1,"SARNOR, Faliku G. (CDC) ",,30,,"Total Votes: ",,,,,316
"KROMAH, Alhaji G. V. (ALCOP) ",,,,7,"VINCENT, Erik Bauman (APD) ",,51,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,0,"VINCENT, Lincoln  (LDP) ",,19,,,,,,,
"MORLU, John Sembe (UDA) ",,,,9,"WASHINGTON, Hajah Sheri (COTOL) ",,23,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,,"Valid Votes: ",498,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,23,,"Invalid Ballots: ",0,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,3,,"Valid Votes + Invalid Ballots: ",498,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,16,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,7,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,37,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,70,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,3,,,,,,,,,,
,"Valid Votes: ",,,313,,,,,,,,,,
,"Invalid Votes: ",,,6,,,,,,,,,,
,"Total Votes: ",,,319,,,,,,,,,,
"Precinct: 03003 ","Polling Place: ",3,,,,,,"Total: 528 ","Age 18-27: 42.0% ","Age 48-57: ",,,"7.2%",
"COURT HOUSE, TUBMANBURG, Bomi ",,,,,,,,"Males: 46.2% Females: 53.8% ","Age 28-37: 22.3% Age 38-47: 15.0% ","Age 58-67: Age 68+: ",,,"6.8%6.6%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Bomi ",,,"Bomi, Electoral District 3",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,6,"ANDERSON, Alfred Boimah (NPP) ",,56,"COOPER, Tarnue H. (CDC) ",,,,,,98
"BRUMSKINE, Charles Walker (LP) ",,,,20,"BALLOH, Musah  (ALCOP) ",,32,"DAVIS, Ernest Gray (COTOL) ",,,,,,30
"CONNEH, Sekou Damate (PRODEM) ",,,,3,"BENSON, Rebecca T. (LP) ",,85,"HOLMES, JR., Joseph Boakai (NDM) ",,,,,,52
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"BROWN, Samuel Njalbae (LP) ",,38,"KARNLEY, Gbilley Dougba (NPP) ",,,,,,42
"FARHAT, David M. (FDP) ",,,,8,"DEVINE, Richard Blamah (COTOL) ",,93,"KOLLIE, John Zoebohn (LP) ",,,,,,50
"JALLAH, Armah Zolu (NPL) ",,,,2,"JOHNSON, Sando Dazoe (NPP) ",,38,"SIRLEAF, Sando Gaiyah (LDP) ",,,,,,41
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,88,"KO-JUAH, Amos Boima (UP) ",,28,"TARWEH, Seth Momo (PRODEM) ",,,,,,14
"KIADII, George Momodu (NATVIPOL) ",,,,2,"LANSANAH, Lahai Gbabye (NDPL) ",,83,"TIPAYSON, Oretha Maviayer (RULP) ",,,,,,18
"KIEH, JR., George Klay (NDM) ",,,,1,"MASSALEY, Mohammed Aliu (UP) ",,45,,"Valid Votes: ",,,,,345
"KORTO, Joseph D. Z. (LERP) ",,,,1,"SANDO, G. Aaron (NDPL) ",,30,,"Invalid Votes: ",,,,,18
"KPOTO, Robert Momo (ULD) ",,,,1,"SARNOR, Faliku G. (CDC) ",,43,,"Total Votes: ",,,,,363
"KROMAH, Alhaji G. V. (ALCOP) ",,,,17,"VINCENT, Erik Bauman (APD) ",,14,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,3,"VINCENT, Lincoln  (LDP) ",,30,,,,,,,
"MORLU, John Sembe (UDA) ",,,,7,"WASHINGTON, Hajah Sheri (COTOL) ",,24,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,1,,"Valid Votes: ",639,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,17,,"Invalid Ballots: ",11,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,2,,"Valid Votes + Invalid Ballots: ",650,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,16,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,22,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,50,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,85,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,2,,,,,,,,,,
,"Valid Votes: ",,,354,,,,,,,,,,
,"Invalid Votes: ",,,9,,,,,,,,,,
,"Total Votes: ",,,363,,,,,,,,,,
"Precinct: 03003 ","Polling Place: ",4,,,,,,"Total: 516 ","Age 18-27: 41.5% ","Age 48-57: ",,,"6.6%",
"COURT HOUSE, TUBMANBURG, Bomi ",,,,,,,,"Males: 49.6% Females: 50.4% ","Age 28-37: 23.3% Age 38-47: 15.9% ","Age 58-67: Age 68+: ",,,"7.6%5.2%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Bomi ",,,"Bomi, Electoral District 3",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,10,"ANDERSON, Alfred Boimah (NPP) ",,31,"COOPER, Tarnue H. (CDC) ",,,,,,106
"BRUMSKINE, Charles Walker (LP) ",,,,13,"BALLOH, Musah  (ALCOP) ",,33,"DAVIS, Ernest Gray (COTOL) ",,,,,,34
"CONNEH, Sekou Damate (PRODEM) ",,,,3,"BENSON, Rebecca T. (LP) ",,81,"HOLMES, JR., Joseph Boakai (NDM) ",,,,,,46
"DIVINE, SR., Samuel Raymond (Ind) ",,,,6,"BROWN, Samuel Njalbae (LP) ",,29,"KARNLEY, Gbilley Dougba (NPP) ",,,,,,38
"FARHAT, David M. (FDP) ",,,,8,"DEVINE, Richard Blamah (COTOL) ",,86,"KOLLIE, John Zoebohn (LP) ",,,,,,29
"JALLAH, Armah Zolu (NPL) ",,,,4,"JOHNSON, Sando Dazoe (NPP) ",,33,"SIRLEAF, Sando Gaiyah (LDP) ",,,,,,47
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,87,"KO-JUAH, Amos Boima (UP) ",,28,"TARWEH, Seth Momo (PRODEM) ",,,,,,11
"KIADII, George Momodu (NATVIPOL) ",,,,4,"LANSANAH, Lahai Gbabye (NDPL) ",,87,"TIPAYSON, Oretha Maviayer (RULP) ",,,,,,27
"KIEH, JR., George Klay (NDM) ",,,,2,"MASSALEY, Mohammed Aliu (UP) ",,45,,"Valid Votes: ",,,,,338
"KORTO, Joseph D. Z. (LERP) ",,,,0,"SANDO, G. Aaron (NDPL) ",,31,,"Invalid Votes: ",,,,,25
"KPOTO, Robert Momo (ULD) ",,,,0,"SARNOR, Faliku G. (CDC) ",,38,,"Total Votes: ",,,,,363
"KROMAH, Alhaji G. V. (ALCOP) ",,,,12,"VINCENT, Erik Bauman (APD) ",,19,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,3,"VINCENT, Lincoln  (LDP) ",,30,,,,,,,
"MORLU, John Sembe (UDA) ",,,,9,"WASHINGTON, Hajah Sheri (COTOL) ",,32,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,2,,"Valid Votes: ",603,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,14,,"Invalid Ballots: ",0,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,2,,"Valid Votes + Invalid Ballots: ",603,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,19,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,14,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,48,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,95,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,2,,,,,,,,,,
,"Valid Votes: ",,,357,,,,,,,,,,
,"Invalid Votes: ",,,12,,,,,,,,,,
,"Total Votes: ",,,369,,,,,,,,,,
"Precinct: 03003 ","Polling Place: ",5,,,,,,"Total: 545 ","Age 18-27: 42.0% ","Age 48-57: ",,,"7.2%",
"COURT HOUSE, TUBMANBURG, Bomi ",,,,,,,,"Males: 48.6% Females: 51.4% ","Age 28-37: 23.1% Age 38-47: 16.3% ","Age 58-67: Age 68+: ",,,"6.1%5.3%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Bomi ",,,"Bomi, Electoral District 3",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,14,"ANDERSON, Alfred Boimah (NPP) ",,53,"COOPER, Tarnue H. (CDC) ",,,,,,98
"BRUMSKINE, Charles Walker (LP) ",,,,24,"BALLOH, Musah  (ALCOP) ",,41,"DAVIS, Ernest Gray (COTOL) ",,,,,,39
"CONNEH, Sekou Damate (PRODEM) ",,,,7,"BENSON, Rebecca T. (LP) ",,81,"HOLMES, JR., Joseph Boakai (NDM) ",,,,,,42
"DIVINE, SR., Samuel Raymond (Ind) ",,,,2,"BROWN, Samuel Njalbae (LP) ",,45,"KARNLEY, Gbilley Dougba (NPP) ",,,,,,47
"FARHAT, David M. (FDP) ",,,,1,"DEVINE, Richard Blamah (COTOL) ",,86,"KOLLIE, John Zoebohn (LP) ",,,,,,41
"JALLAH, Armah Zolu (NPL) ",,,,3,"JOHNSON, Sando Dazoe (NPP) ",,28,"SIRLEAF, Sando Gaiyah (LDP) ",,,,,,44
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,86,"KO-JUAH, Amos Boima (UP) ",,25,"TARWEH, Seth Momo (PRODEM) ",,,,,,14
"KIADII, George Momodu (NATVIPOL) ",,,,7,"LANSANAH, Lahai Gbabye (NDPL) ",,94,"TIPAYSON, Oretha Maviayer (RULP) ",,,,,,24
"KIEH, JR., George Klay (NDM) ",,,,0,"MASSALEY, Mohammed Aliu (UP) ",,30,,"Valid Votes: ",,,,,349
"KORTO, Joseph D. Z. (LERP) ",,,,3,"SANDO, G. Aaron (NDPL) ",,26,,"Invalid Votes: ",,,,,29
"KPOTO, Robert Momo (ULD) ",,,,2,"SARNOR, Faliku G. (CDC) ",,37,,"Total Votes: ",,,,,378
"KROMAH, Alhaji G. V. (ALCOP) ",,,,10,"VINCENT, Erik Bauman (APD) ",,21,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,3,"VINCENT, Lincoln  (LDP) ",,22,,,,,,,
"MORLU, John Sembe (UDA) ",,,,10,"WASHINGTON, Hajah Sheri (COTOL) ",,27,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,1,,"Valid Votes: ",616,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,26,,"Invalid Ballots: ",8,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,2,,"Valid Votes + Invalid Ballots: ",624,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,10,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,16,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,47,,,,,,,,,,
