"Precinct: 30001 ","Polling Place: ",1,,,"Precinct: 30002 ","Polling Place: ",1,,,"Precinct: 30003 ","Polling Place: ",1,,
,"Valid Votes: ",,,330,,"Valid Votes: ",,,157,,"Valid Votes: ",,,234
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,2
,"Total Votes: ",,,336,,"Total Votes: ",,,161,,"Total Votes: ",,,236
"Precinct: 30007 ","Polling Place: ",1,,,"Precinct: 30007 ","Polling Place: ",2,,,"Precinct: 30007 ","Polling Place: ",3,,
"Sarah Barclay Sr High Sc, Virginia ",,,,,"Sarah Barclay Sr High Sc, Virginia ",,,,,"Sarah Barclay Sr High Sc, Virginia",,,,
"Registered Voters: ",463,,,,"Registered Voters: ",438,,,,"Registered Voters: ",455,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,159,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,152,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,138
"WEAH, George Manneh (CDC) ",,,,192,"WEAH, George Manneh (CDC) ",,,,186,"WEAH, George Manneh (CDC) ",,,,217
,"Valid Votes: ",,,351,,"Valid Votes: ",,,338,,"Valid Votes: ",,,355
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,7
,"Total Votes: ",,,358,,"Total Votes: ",,,344,,"Total Votes: ",,,362
"Precinct: 30007 ","Polling Place: ",4,,,"Precinct: 30008 ","Polling Place: ",1,,,"Precinct: 30008 ","Polling Place: ",2,,
"Sarah Barclay Sr High Sc, Virginia ",,,,,"Virginia Chrisitian Academy Sch, Virginia ",,,,,"Virginia Chrisitian Academy Sch, Virginia",,,,
"Registered Voters: ",462,,,,"Registered Voters: ",507,,,,"Registered Voters: ",472,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,164,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,208,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,218
"WEAH, George Manneh (CDC) ",,,,208,"WEAH, George Manneh (CDC) ",,,,187,"WEAH, George Manneh (CDC) ",,,,166
,"Valid Votes: ",,,372,,"Valid Votes: ",,,395,,"Valid Votes: ",,,384
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,7
,"Total Votes: ",,,373,,"Total Votes: ",,,404,,"Total Votes: ",,,391
"Precinct: 30009 ","Polling Place: ",1,,,"Precinct: 30009 ","Polling Place: ",2,,,"Precinct: 30009 ","Polling Place: ",3,,
"Banjor Public Ele /jr High Sc , Virginia ",,,,,"Banjor Public Ele /jr High Sc , Virginia ",,,,,"Banjor Public Ele /jr High Sc , Virginia",,,,
"Registered Voters: ",509,,,,"Registered Voters: ",539,,,,"Registered Voters: ",521,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,223,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,228,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,213
"WEAH, George Manneh (CDC) ",,,,171,"WEAH, George Manneh (CDC) ",,,,167,"WEAH, George Manneh (CDC) ",,,,168
,"Valid Votes: ",,,394,,"Valid Votes: ",,,395,,"Valid Votes: ",,,381
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,3
,"Total Votes: ",,,400,,"Total Votes: ",,,399,,"Total Votes: ",,,384
"Precinct: 30009 ","Polling Place: ",4,,,"Precinct: 30010 ","Polling Place: ",1,,,"Precinct: 30010 ","Polling Place: ",2,,
"Banjor Public Ele /jr High Sc , Virginia ",,,,,"Red Hill Community, Virginia ",,,,,"Red Hill Community, Virginia",,,,
"Registered Voters: ",559,,,,"Registered Voters: ",468,,,,"Registered Voters: ",469,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,233,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,188,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,189
"WEAH, George Manneh (CDC) ",,,,167,"WEAH, George Manneh (CDC) ",,,,146,"WEAH, George Manneh (CDC) ",,,,152
,"Valid Votes: ",,,400,,"Valid Votes: ",,,334,,"Valid Votes: ",,,341
,"Invalid Votes: ",,,25,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,2
,"Total Votes: ",,,425,,"Total Votes: ",,,342,,"Total Votes: ",,,343
"Precinct: 30010 ","Polling Place: ",3,,,"Precinct: 30011 ","Polling Place: ",1,,,"Precinct: 30012 ","Polling Place: ",1,,
"Red Hill Community, Virginia ",,,,,"Billy Tow n Registration Centre, Brew ersville ",,,,,"Kpaykor Public School, Brew ersville",,,,
"Registered Voters: ",457,,,,"Registered Voters: ",383,,,,"Registered Voters: ",290,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,174,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,171,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,111
"WEAH, George Manneh (CDC) ",,,,134,"WEAH, George Manneh (CDC) ",,,,78,"WEAH, George Manneh (CDC) ",,,,53
,"Valid Votes: ",,,308,,"Valid Votes: ",,,249,,"Valid Votes: ",,,164
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,2
,"Total Votes: ",,,318,,"Total Votes: ",,,254,,"Total Votes: ",,,166
"Precinct: 30013 ","Polling Place: ",1,,,"Precinct: 30014 ","Polling Place: ",1,,,"Precinct: 30015 ","Polling Place: ",1,,
"Isaac G Tondo Public Sch, Virginia ",,,,,"Kpallah Community School, Virginia ",,,,,"Ag Bible School, Brew ersville",,,,
"Registered Voters: ",108,,,,"Registered Voters: ",214,,,,"Registered Voters: ",432,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,37,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,92,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,208
"WEAH, George Manneh (CDC) ",,,,27,"WEAH, George Manneh (CDC) ",,,,61,"WEAH, George Manneh (CDC) ",,,,91
,"Valid Votes: ",,,64,,"Valid Votes: ",,,153,,"Valid Votes: ",,,299
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,4
,"Total Votes: ",,,64,,"Total Votes: ",,,155,,"Total Votes: ",,,303
"Precinct: 30015 ","Polling Place: ",2,,,"Precinct: 30016 ","Polling Place: ",1,,,"Precinct: 30016 ","Polling Place: ",2,,
"Ag Bible School, Brew ersville ",,,,,"Triump Church Mission School, Brew ersville ",,,,,"Triump Church Mission School, Brew ersville",,,,
"Registered Voters: ",409,,,,"Registered Voters: ",481,,,,"Registered Voters: ",481,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,181,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,212,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,222
"WEAH, George Manneh (CDC) ",,,,95,"WEAH, George Manneh (CDC) ",,,,122,"WEAH, George Manneh (CDC) ",,,,112
,"Valid Votes: ",,,276,,"Valid Votes: ",,,334,,"Valid Votes: ",,,334
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,5
,"Total Votes: ",,,276,,"Total Votes: ",,,342,,"Total Votes: ",,,339
"Precinct: 30016 ","Polling Place: ",3,,,"Precinct: 30017 ","Polling Place: ",1,,,"Precinct: 30017 ","Polling Place: ",2,,
"Triump Church Mission School, Brew ersville ",,,,,"Security Building , Brew ersville ",,,,,"Security Building , Brew ersville",,,,
"Registered Voters: ",453,,,,"Registered Voters: ",463,,,,"Registered Voters: ",437,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,203,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,241,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,193
"WEAH, George Manneh (CDC) ",,,,122,"WEAH, George Manneh (CDC) ",,,,110,"WEAH, George Manneh (CDC) ",,,,125
,"Valid Votes: ",,,325,,"Valid Votes: ",,,351,,"Valid Votes: ",,,318
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,4
,"Total Votes: ",,,333,,"Total Votes: ",,,358,,"Total Votes: ",,,322
"Precinct: 30017 ","Polling Place: ",3,,,"Precinct: 30017 ","Polling Place: ",4,,,"Precinct: 30018 ","Polling Place: ",1,,
"Security Building , Brew ersville ",,,,,"Security Building , Brew ersville ",,,,,"Palave Hut , Clay Ashland",,,,
"Registered Voters: ",431,,,,"Registered Voters: ",479,,,,"Registered Voters: ",377,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,192,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,246,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,324
"WEAH, George Manneh (CDC) ",,,,125,"WEAH, George Manneh (CDC) ",,,,104,"WEAH, George Manneh (CDC) ",,,,43
,"Valid Votes: ",,,317,,"Valid Votes: ",,,350,,"Valid Votes: ",,,367
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,3
,"Total Votes: ",,,319,,"Total Votes: ",,,354,,"Total Votes: ",,,370
"Precinct: 30018 ","Polling Place: ",2,,,"Precinct: 30019 ","Polling Place: ",1,,,"Precinct: 30019 ","Polling Place: ",2,,
"Palave Hut , Clay Ashland ",,,,,"Virgina Public School, Clay Ashland ",,,,,"Virgina Public School, Clay Ashland",,,,
"Registered Voters: ",384,,,,"Registered Voters: ",360,,,,"Registered Voters: ",346,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,338,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,175,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,171
"WEAH, George Manneh (CDC) ",,,,40,"WEAH, George Manneh (CDC) ",,,,113,"WEAH, George Manneh (CDC) ",,,,90
,"Valid Votes: ",,,378,,"Valid Votes: ",,,288,,"Valid Votes: ",,,261
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,2
,"Total Votes: ",,,384,,"Total Votes: ",,,291,,"Total Votes: ",,,263
"Precinct: 30020 ","Polling Place: ",1,,,"Precinct: 30021 ","Polling Place: ",1,,,"Precinct: 30022 ","Polling Place: ",1,,
"Wd Coleman High S Chool, Clay Ashland ",,,,,"Mills Burg Community Center, Mills Burg ",,,,,"Community Center, Mills Burg",,,,
"Registered Voters: ",534,,,,"Registered Voters: ",166,,,,"Registered Voters: ",270,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,157,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,100,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,57
"WEAH, George Manneh (CDC) ",,,,143,"WEAH, George Manneh (CDC) ",,,,17,"WEAH, George Manneh (CDC) ",,,,120
,"Valid Votes: ",,,300,,"Valid Votes: ",,,117,,"Valid Votes: ",,,177
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,10
,"Total Votes: ",,,302,,"Total Votes: ",,,120,,"Total Votes: ",,,187
"Precinct: 30023 ","Polling Place: ",1,,,"Precinct: 30024 ","Polling Place: ",1,,,"Precinct: 30025 ","Polling Place: ",1,,
"Palava  Hut , Arthington ",,,,,"Victory Chapel School, Arthington ",,,,,"Jallaba Reg Center, Arthington",,,,
"Registered Voters: ",527,,,,"Registered Voters: ",277,,,,"Registered Voters: ",388,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,206,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,86,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,150
"WEAH, George Manneh (CDC) ",,,,77,"WEAH, George Manneh (CDC) ",,,,46,"WEAH, George Manneh (CDC) ",,,,25
,"Valid Votes: ",,,283,,"Valid Votes: ",,,132,,"Valid Votes: ",,,175
,"Invalid Votes: ",,,19,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,1
,"Total Votes: ",,,302,,"Total Votes: ",,,139,,"Total Votes: ",,,176
"Precinct: 30025 ","Polling Place: ",2,,,"Precinct: 30026 ","Polling Place: ",1,,,"Precinct: 30026 ","Polling Place: ",2,,
"Jallaba Reg Center, Arthington ",,,,,"Maranatha Baptist School, Caldw ell ",,,,,"Maranatha Baptist School, Caldw ell",,,,
"Registered Voters: ",370,,,,"Registered Voters: ",501,,,,"Registered Voters: ",515,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,94,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,225,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,223
"WEAH, George Manneh (CDC) ",,,,26,"WEAH, George Manneh (CDC) ",,,,165,"WEAH, George Manneh (CDC) ",,,,199
,"Valid Votes: ",,,120,,"Valid Votes: ",,,390,,"Valid Votes: ",,,422
,"Invalid Votes: ",,,18,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,5
,"Total Votes: ",,,138,,"Total Votes: ",,,391,,"Total Votes: ",,,427
"Precinct: 30026 ","Polling Place: ",3,,,"Precinct: 30026 ","Polling Place: ",4,,,"Precinct: 30027 ","Polling Place: ",1,,
"Maranatha Baptist School, Caldw ell ",,,,,"Maranatha Baptist School, Caldw ell ",,,,,"Angeline W . Alllison  , Caldw ell",,,,
"Registered Voters: ",518,,,,"Registered Voters: ",519,,,,"Registered Voters: ",524,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,205,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,194,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,188
"WEAH, George Manneh (CDC) ",,,,190,"WEAH, George Manneh (CDC) ",,,,202,"WEAH, George Manneh (CDC) ",,,,182
,"Valid Votes: ",,,395,,"Valid Votes: ",,,396,,"Valid Votes: ",,,370
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,7
,"Total Votes: ",,,405,,"Total Votes: ",,,400,,"Total Votes: ",,,377
"Precinct: 30027 ","Polling Place: ",2,,,"Precinct: 30027 ","Polling Place: ",3,,,"Precinct: 30028 ","Polling Place: ",1,,
"Angeline W . Alllison  , Caldw ell ",,,,,"Angeline W . Alllison  , Caldw ell ",,,,,"Sims Community School , Caldw ell",,,,
"Registered Voters: ",546,,,,"Registered Voters: ",507,,,,"Registered Voters: ",551,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,206,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,183,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,259
"WEAH, George Manneh (CDC) ",,,,189,"WEAH, George Manneh (CDC) ",,,,185,"WEAH, George Manneh (CDC) ",,,,166
,"Valid Votes: ",,,395,,"Valid Votes: ",,,368,,"Valid Votes: ",,,425
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,6
,"Total Votes: ",,,404,,"Total Votes: ",,,375,,"Total Votes: ",,,431
"Precinct: 30028 ","Polling Place: ",2,,,"Precinct: 30028 ","Polling Place: ",3,,,"Precinct: 30029 ","Polling Place: ",1,,
"Sims Community School , Caldw ell ",,,,,"Sims Community School , Caldw ell ",,,,,"Elizbeth Tubman Memorial Inst, Caldw ell",,,,
"Registered Voters: ",537,,,,"Registered Voters: ",566,,,,"Registered Voters: ",540,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,221,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,244,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,194
"WEAH, George Manneh (CDC) ",,,,182,"WEAH, George Manneh (CDC) ",,,,185,"WEAH, George Manneh (CDC) ",,,,165
,"Valid Votes: ",,,403,,"Valid Votes: ",,,429,,"Valid Votes: ",,,359
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,10
,"Total Votes: ",,,407,,"Total Votes: ",,,440,,"Total Votes: ",,,369
"Precinct: 30029 ","Polling Place: ",2,,,"Precinct: 30029 ","Polling Place: ",3,,,"Precinct: 30030 ","Polling Place: ",1,,
"Elizbeth Tubman Memorial Inst, Caldw ell ",,,,,"Elizbeth Tubman Memorial Inst, Caldw ell ",,,,,"Dixville Public School , Dixville",,,,
"Registered Voters: ",541,,,,"Registered Voters: ",25,,,,"Registered Voters: ",382,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,181,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,5,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,208
"WEAH, George Manneh (CDC) ",,,,191,"WEAH, George Manneh (CDC) ",,,,3,"WEAH, George Manneh (CDC) ",,,,94
,"Valid Votes: ",,,372,,"Valid Votes: ",,,8,,"Valid Votes: ",,,302
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,5
,"Total Votes: ",,,378,,"Total Votes: ",,,8,,"Total Votes: ",,,307
"Precinct: 30031 ","Polling Place: ",1,,,"Precinct: 30032 ","Polling Place: ",1,,,"Precinct: 30032 ","Polling Place: ",2,,
"Dixville Catholic School, Dixville ",,,,,"Jw a Richards School, Lousianna ",,,,,"Jw a Richards School, Lousianna",,,,
"Registered Voters: ",209,,,,"Registered Voters: ",306,,,,"Registered Voters: ",312,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,85,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,131,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,116
"WEAH, George Manneh (CDC) ",,,,67,"WEAH, George Manneh (CDC) ",,,,73,"WEAH, George Manneh (CDC) ",,,,82
,"Valid Votes: ",,,152,,"Valid Votes: ",,,204,,"Valid Votes: ",,,198
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,12
,"Total Votes: ",,,152,,"Total Votes: ",,,213,,"Total Votes: ",,,210
"Precinct: 30033 ","Polling Place: ",1,,,"Precinct: 30033 ","Polling Place: ",2,,,"Precinct: 30034 ","Polling Place: ",1,,
"Johnson Ville Ele/jr High School, Johnsonville ",,,,,"Johnson Ville Ele/jr High School, Johnsonville ",,,,,"Jl Gibson School, Central Monrovia 1",,,,
"Registered Voters: ",370,,,,"Registered Voters: ",365,,,,"Registered Voters: ",519,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,125,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,144,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,178
"WEAH, George Manneh (CDC) ",,,,80,"WEAH, George Manneh (CDC) ",,,,65,"WEAH, George Manneh (CDC) ",,,,206
,"Valid Votes: ",,,205,,"Valid Votes: ",,,209,,"Valid Votes: ",,,384
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,3
,"Total Votes: ",,,213,,"Total Votes: ",,,220,,"Total Votes: ",,,387
"Precinct: 30034 ","Polling Place: ",2,,,"Precinct: 30034 ","Polling Place: ",3,,,"Precinct: 30034 ","Polling Place: ",4,,
"Jl Gibson School, Central Monrovia 1 ",,,,,"Jl Gibson School, Central Monrovia 1 ",,,,,"Jl Gibson School, Central Monrovia 1",,,,
"Registered Voters: ",513,,,,"Registered Voters: ",473,,,,"Registered Voters: ",477,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,173,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,168,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,134
"WEAH, George Manneh (CDC) ",,,,207,"WEAH, George Manneh (CDC) ",,,,210,"WEAH, George Manneh (CDC) ",,,,206
,"Valid Votes: ",,,380,,"Valid Votes: ",,,378,,"Valid Votes: ",,,340
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,3
,"Total Votes: ",,,387,,"Total Votes: ",,,389,,"Total Votes: ",,,343
"Precinct: 30034 ","Polling Place: ",5,,,"Precinct: 30034 ","Polling Place: ",6,,,"Precinct: 30035 ","Polling Place: ",1,,
"Jl Gibson School, Central Monrovia 1 ",,,,,"Jl Gibson School, Central Monrovia 1 ",,,,,"Antonete Tubman Stadium, Central Monrovia 1",,,,
"Registered Voters: ",524,,,,"Registered Voters: ",496,,,,"Registered Voters: ",457,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,188,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,166,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,109
"WEAH, George Manneh (CDC) ",,,,223,"WEAH, George Manneh (CDC) ",,,,201,"WEAH, George Manneh (CDC) ",,,,186
,"Valid Votes: ",,,411,,"Valid Votes: ",,,367,,"Valid Votes: ",,,295
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,6
,"Total Votes: ",,,416,,"Total Votes: ",,,371,,"Total Votes: ",,,301
"Precinct: 30035 ","Polling Place: ",2,,,"Precinct: 30035 ","Polling Place: ",3,,,"Precinct: 30035 ","Polling Place: ",4,,
"Antonete Tubman Stadium, Central Monrovia 1 ",,,,,"Antonete Tubman Stadium, Central Monrovia 1 ",,,,,"Antonete Tubman Stadium, Central Monrovia 1",,,,
"Registered Voters: ",485,,,,"Registered Voters: ",499,,,,"Registered Voters: ",479,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,116,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,98,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,118
