6061,"TOKPAIPOLU ","TOKPAIPPLU CLINIC ","2 1,093 ","- ","-",,
6062,"NYAINQUELL ","NYAINQUELL SCHOOL BUILDING ","2 606 ","- ","-",,
6063,"SANTA ","SANTA PALAVA HUT ","1 398 ","- ","-",,
6064,"TOTOTA ","E. J. YANCY SCHOOL BUILDING ","4 2,171 ","- ","-",,
6065,"TOTOTA ","E. J. YANCY SCHOOL BUILDING ","3 1,677 ","- ","-",,
6066,"TOTOTA ","E. J. YANCY SCHOOL BUILDING ","3 1,423 ","- ","-",,
6067,"FELELAH ","FELELAH PUBLIC SCHOOL ","5 2,797 ","- ","-",,
6068,"E. J. YANCY CAMP ","DISTRIBUTION CENTER ","1 359 ",2,657,,
6069,"E. J. YANCY CAMP ","DISTRIBUTION CENTER ","1 392 ",2,650,,
6070,"E. J. YANCY CAMP ","DISTRIBUTION CENTER ","1 445 ",2,785,,
6071,"MAIMU 1, 2, AND 3 CAMP ","DISTRIBUTION CENTER ","1 68 ",2,"1,148",,
6072,"MAIMU 1, 2, AND 3 CAMP ","DISTRIBUTION CENTER ","1 55 ",3,"1,704",,
6073,"MAIMU 1, 2, AND 3 CAMP ","DISTRIBUTION CENTER ","1 111 ",3,"1,385",,
6074,"MAIMU 1, 2, AND 3 CAMP ","DISTRIBUTION CENTER ","1 59 ",3,"1,241",,
6075,"MAIMU 1, 2, AND 3 CAMP ","DISTRIBUTION CENTER ","1 6 ",3,"1,308",,
6076,"MAIMU 1, 2, AND 3 CAMP ","DISTRIBUTION CENTER ","1 265 ",2,"1,065",,
6077,"SALALA IDP CAMP ","DISTRIBUTION CENTER ","1 116 ",3,"1,675",,
6078,"SALALA IDP CAMP ","DISTRIBUTION CENTER ","1 85 ",3,"1,497",,
6079,"SALALA IDP CAMP ","DISTRIBUTION CENTER ","1 120 ",3,"1,342",,
6080,"TUMUTU CAMP ","DISTRIBUTION CENTER ","1 223 ",3,"1,314",,
,,"COUNTY: BONGELECTORAL DISTRICT: 3",,,,,
,,,,"Non-",,,
,,,"General ",,"Non-",,
"Precinct ",,,"General ","Returned ","Returned ",,
"Code ","Locality ","Address","Polling Places Voters","IDP Polling ","IDPVoters",,
,,,,"Places **",,,
6001,"GLENKORMAH ","GLENKORMAH HUT ","1 549 ","- ","-",,
6002,"JORNKAI ","JORNKAI PALAVA HUT ","1 197 ","- ","-",,
6003,"YAINDEWUAN ","YAIDEWUAN PALAVA HUT ","2 996 ","- ","-",,
6004,"GARUWOQUELLEH ","GARUWOQUELLEH PALAVA HUT ","2 988 ","- ","-",,
6005,"KORNIE ","KORNIE PALAVA HUT ","1 317 ","- ","-",,
6006,"BELEFANAI ","BELEFANAI PALAVA HUT ","1 430 ","- ","-",,
6007,"SINYEA TOWN ","SINYEA PUBLIC SCHOOL ","2 1,030 ","- ","-",,
6008,"BALAMAH TOWN ","BALAMAH HUT ","1 528 ","- ","-",,
6009,"GARLAI ","GARLAI SCHOOL ","1 305 ","- ","-",,
6010,"GUERMUE ","GUERMUE PALAVA HUT ","2 740 ","- ","-",,
6011,"KRONENAH ","KRONENAH ","2 1,018 ","- ","-",,
6012,"DULIMUE ","DULIMUE ","2 975 ","- ","-",,
6013,"MONONKPANGA ","MONONKPANGA PUBLIC SCHOOL ","1 434 ","- ","-",,
6014,"CUTTINGTON CAMPUS ","CUTTINGTON CAMPUS ","3 1,310 ","- ","-",,
6015,"PHEBE COMPOUND ","PHEBE COMPOUND ","4 1,854 ","- ","-",,
6016,"GBARTALA TOWN ","GBARTALA PARA. CHIEF OFFICE ","5 2,643 ","- ","-",,
6017,"TAYLOR TOWN ","UMC SCHOOL BUILDING ","2 1,142 ","- ","-",,
6018,"VOLOBLAI ","VOLOBLAI ","2 858 ","- ","-",,
6019,"FENUTOLI TOWN ","FENUTOLI PUBLIC SCHOOL ","2 650 ","- ","-",,
6020,"DUWAYEAPOLU ","DUWAYEAPULO HUT ","1 238 ","- ","-",,
6021,"GARYEA ","GARYEA PALAVA HUT ","2 1,042 ","- ","-",,
6022,"TUMATA ","TUMATA PUBLIC SCHOOL ","1 548 ","- ","-",,
6033,"SUAKOKO TOWN ","SUAKOKO TOWN HALL ","4 2,269 ","- ","-",,
6034,"SUAKOKO TOWN ","SUAKOKO CENTRAL HIGH SCHOOL ","2 1,178 ","- ","-",,
6035,"SGT. KOLLIE TOWNW ","SKT MARKET HALL ","3 1,478 ","- ","-",,
,,,"COUNTY: BONGELECTORAL DISTRICT: 4",,,,
,,,,,"Non-",,
,,,,"General ",,"Non-",
"Precinct Code ",,"Locality ","Address ","Polling General Voters Places ","Returned IDPPolling ","Returned IDPVoters",
,,,,,"Places **",,
6534,,"TAMATA TOWN ","TAMATA PUBLIC SCHOOL ","3 1,403 ","- ","-",
6535,,"TOLOMINEH TOWN ","TOLOMINEH PUBLIC SCHOOL ","2 713 ","- ","-",
6538,,"GBAOTO ","GBAOTO PUBLIC SCHOOL ","2 1,073 ","- ","-",
6539,,"JENNEPLETA ","JENEPLITA PUBLIC SCHOOL ","3 1,311 ","- ","-",
6540,,"KOLLITAWOLATOWN ","KOLLITAWOLA PUBLIC SCHOOL ","2 777 ","- ","-",
6541,,"MELEKEI ","MELEKIE PUBLIC SCHOOL ","2 689 ","- ","-",
6543,,"TOMUE ","TOMUE PALAVA HUT ","2 778 ","- ","-",
6545,,"BLATANLA ","BCADP WAREHOUSE ","1 553 ","- ","-",
6548,,"BLEMEYEA ","BLAMEYEA PUBLIC SCHOOL ","2 871 ","- ","-",
6552,,"GBARNGA CITY ","NSAH WOHN-A NEHN SCHOOL ","5 2,773 ","- ","-",
6553,,"CENTRAL GBARNGA ","LOIC SCHOOL ","5 2,649 ","- ","-",
6554,,"GBARNGA CITY ","J.F. CLARKE KINDERGARTEN SCHOOL ","5 2,421 ","- ","-",
6555,,"GBARNGA CITY ","M.V. MASSAQUOI SCHOOL ","4 2,309 ","- ","-",
6556,,"GBARNGA CITY ","TUBMAN GRAY HIGH SCHOOL ","4 2,177 ","- ","-",
6557,,"GBARNGA CITY ","ASSEMBLIES OF GOD SCHOOL ","5 2,550 ","- ","-",
6558,,"GBARNGA CITY ","GBARNGA SPORTS STADIUM ","5 2,548 ","- ","-",
,,"COUNTY: BONGELECTORAL DISTRICT: 5",,,,,
,,,,"Non-",,,
,,,"General ",,"Non-",,
"Precinct ",,,"General ","Returned ","Returned ",,
"Code ","Locality ","Address","Polling Voters Places ","IDP Polling ","IDPVoters",,
,,,,"Places **",,,
6515,"ZOWIENTA TOWN ","NYONFAKOLLIE PUBLIC SCHOOL ","5 2,538 ","- ","-",,
6516,"BAILA TOWN ","SAMUEL B. COOPER SCHOOL ","3 1,421 ","- ","-",,
6517,"PALALA TOWN ","NYAQUOI BEE SCHOOL ","5 2,995 ","- ","-",,
6518,"FOELA TOWN ","YOUTH MISSION OF LIFE ","2 903 ","- ","-",,
6519,"SARWOLOR TOWN ","SARWOLOR TOWN PUBLIC SCHOOL ","1 415 ","- ","-",,
6520,"ZEBAY ","JAMES MILTON JR. HIGH SCHOOL ","4 1,942 ","- ","-",,
6521,"YOPEA (1) ","YOPEA PUBLIC SCHOOL ","2 877 ","- ","-",,
6522,"TARSAI TOWN ","TARSAI PUBLIC SCHOOL ","2 933 ","- ","-",,
6523,"BOTOTA CITY ","BOTOTA PUBLIC SCHOOL ","2 951 ","- ","-",,
6524,"GBECOHN ","GBECOHN PUBLIC SCHOOL ","3 1,540 ","- ","-",,
6525,"TUKPABLEE TOWN ","TUKPABLEE PALAVA HUT ","2 1,055 ","- ","-",,
6526,"GBARLORKPALAH TOWN ","GBARLOKPALAH PUBLIC SCHOOL ","3 1,264 ","- ","-",,
6527,"U-LAH TOWN ","U-LAH PUBLIC SCHOOL ","2 1,069 ","- ","-",,
6528,"GOLD CAMP TOWN ","GOLD CAMP PUBLIC SCHOOL ","4 1,967 ","- ","-",,
6529,"YOLO TOWN ","YOLO TOWN PUBLIC SCHOOL ","3 1,262 ","- ","-",,
6530,"ROCK CRUSHER TOWN ","ROCK CRUSHER PUBLIC SCHOOL ","1 530 ","- ","-",,
6531,"DOE-BLEE TOWN ","DOE-BLEE PUBLIC SCHOOL ","1 503 ","- ","-",,
6532,"GBELETAY TOWN ","PALAVA HUT ","1 325 ","- ","-",,
6533,"NAGBOI TOWN ","PALAVA HUT ","1 460 ","- ","-",,
6536,"GBENEQUELLEH TOWN ","GBENEQUELLEH PUBLIC SCHOOL ","2 1,162 ","- ","-",,
6537,"SAMEY ","SAMEY PUBLIC SCHOOL ","2 619 ","- ","-",,
6544,"JANYEA ","JANYEA PUBLIC SCHOOL ","2 992 ","- ","-",,
6546,"BARYATA ","BARYATA PUBLIC SCHOOL ","2 987 ","- ","-",,
6547,"LEHLEH ","LEHLEH PUBLIC SCHOOL ","2 682 ","- ","-",,
6551,"MONOWAINSUE ","MANOWAINSUE PUBLIC SCHOOL ","2 739 ","- ","-",,
,,"COUNTY: BONGELECTORAL DISTRICT: 6",,,,,
,,,,"Non-",,,
,,,"General ",,"Non-",,
"Precinct ",,,"General ","Returned ","Returned ",,
"Code ","Locality ","Address","Polling Places Voters","IDP Polling ","IDPVoters",,
,,,,"Places **",,,
6501,"BELEFANAI CITY ","BELEFANAI HEALTH CENTRE ","3 1,772 ","- ","-",,
6502,"GBANSUE SULAMA TOW ","GBANSUE HEALTH CENTRE ","2 781 ","- ","-",,
6503,"SHANKPALAI TOWN ","SHANKPALA PUBLIC SCHOOL ","2 1,089 ","- ","-",,
6504,"YOWEE TOWN ","SEED BANK BUILDING ","2 854 ","- ","-",,
6505,"MBELLEQUOI TOWN ","MBELLEQUOI TOWN PUBLIC SCHOOL ","2 772 ","- ","-",,
6506,"NAAMA TOWN ","SEED BANK BUILDING ","2 1,024 ","- ","-",,
6507,"KOLLIE-TA TOWN ","KOLLIE-TA PALAVA HUT ","1 571 ","- ","-",,
6508,"FARVEY TOWN ","FARVEY PALAVA HUT ","2 694 ","- ","-",,
6509,"GBALATUAH CITY ","GBALATUAH HEALTH CENTRE ","3 1,443 ","- ","-",,
6510,"JORWAH TOWN ","VICTORIA TOLBERT SCHOOL ","1 559 ","- ","-",,
6511,"GBARNGA SIAQUELLEH ","CHRISTIAN T. NORMAL SCHOOL ","3 1,217 ","- ","-",,
6512,"FOEQUELLEH TOWN ","PAY ELEMENTARY & JR. HIGH SCHL ","4 2,382 ","- ","-",,
6513,"BELLEMUE TOWN ","WEAH ELEMENTARY SCHOOL ","3 1,321 ","- ","-",,
6514,"GAHNMUE ","GARMU PUBLIC SCHOOL ","3 1,714 ","- ","-",,
6542,"WAINSUE ","WAINSUE PUBLIC SCHOOL ","4 2,260 ","- ","-",,
6549,"GBARMU ","GBARMU PALAVA HUT ","3 1,542 ","- ","-",,
6550,"GBELEKPALAH TOWN ","GBELEKPALA  PALAVA HUT ","2 722 ","- ","-",,
,,"COUNTY: GBARPOLUELECTORAL DISTRICT: 1",,,,,
,,,"Non-",,,,
,,,"General ",,"Non-",,
"Precinct ",,,"General Returned ",,"Returned ",,
"Code ","Locality ","Address","Polling Voters IDP Places Polling ",,"IDPVoters",,
,,,"Places **",,,,
45013,"GBARMA ","CENTRAL HIGH SCHOOL GBARMA TOWN ","3 1,692 - ",,"-",,
45014,"WEAMAWUO ","PRIMARY SCHOOL,WEAMAWUO TOWN ","2 606 - ",,"-",,
45015,"YANGAYAH ","JUNIOR HIGH SCHOOL,YANGAYAH TOWN ","1 468 - ",,"-",,
45016,"TARKPOIMA ","TOWN HALL, TARKPOIMA TOWN ","2 609 - ",,"-",,
45017,"WEASUA ","JUNIOR HIGH SCHOOL, WEASUA TOWN ","2 613 - ",,"-",,
45018,"BALLA ","JUNIOR HIGH SCHOOL,BALLA TOWN ","1 148 - ",,"-",,
45024,"KANGBOR ","TOWN HALL, KONGBA TOWN ","1 456 - ",,"-",,
45025,"CAMP ALPHA ","PRIMARY SCHOOL,CAMP ALPHA ","1 267 - ",,"-",,
45026,"TIMA VILLAGE ","PRIVATE HOUSE,TIMA VILLAGE ","1 182 - ",,"-",,
45027,"AMTEL CAMP ","AMTEL CAMP OFFICE ","1 231 - ",,"-",,
45028,"ZUEI ","TOWN HALL, ZUEI TOWN ","1 465 - ",,"-",,
45029,"MBARMA ","TOWN HALL, MBARMA TOWN ","1 143 - ",,"-",,
45030,"NOMODATUNDU ","TOWN HALL, NOMODATUNDU,TOWN ","2 1,019 - ",,"-",,
45031,"DOMAMANA ","TOWN HALL, DOMAMANA,TOWN ","1 217 - ",,"-",,
45032,"BEADEN ","TOWN HALL,BEADENTOWN ","1 231 - ",,"-",,
,,"COUNTY: GBARPOLUELECTORAL DISTRICT: 2",,,,,
,,,"Non-",,,,
,,,"General ",,"Non-",,
"Precinct ",,,"Polling GeneralReturned IDP",,"Returned ",,
"Code ","Locality ","Address ","Places Voters Polling ",,"IDPVoters",,
,,,"Places **",,,,
45001,"BOPOLU ","CENTRAL HIGH SCHOOL BOPOLU TOWN ","5 2,579 - ",,"-",,
45002,"TOTOQUELLAH ","PALAVA HUT, TOTOQUELLEH ","1 388 - ",,"-",,
45003,"GBAROQUAI ","PRIVATE HOUSE, GBAROQUAI ","1 396 - ",,"-",,
45004,"GOINDIMA ","PRIVATE HOUSE-PORCH,GOINDIMA ","1 290 - ",,"-",,
45005,"BOMBOOMA ","PRIVATE HOUSE OF TOWN CHIEF ","1 315 - ",,"-",,
45006,"BANDOKAI (USMAN TOW ","CHARLAS P.ROGERS COMMUNITY SCHOOL ","1 268 - ",,"-",,
45007,"VARMAH ","PRIVATE HOUSE, VARMAH TOWN ","1 149 - ",,"-",,
45008,"GBARYAMA ","TOWN HALL GBARYAMA ","2 627 - ",,"-",,
45009,"GBELETA ","TOWN HALL GBELETA ","1 495 - ",,"-",,
45010,"HENRY TOWN ","TOWN HALL HENRY ","1 365 - ",,"-",,
45011,"GAINKPAI ","PUBLIC SCHOOL,GAINKPAI TOWN ","1 193 - ",,"-",,
45012,"MANOWELLAH ","ELEMENTARY SCHOOL,MANOWELLEH TOWN ","1 162 - ",,"-",,
,,,"COUNTY: GBARPOLUELECTORAL DISTRICT: 3",,,,
,,,,"Non-",,,
,,,,"General ",,"Non-",
"Precinct Code ",,"Locality ","Address ","Returned Polling GeneralPlaces VotersIDP Polling ",,"Returned IDPVoters",
,,,,"Places **",,,
45019,,"FASSAMA ","PRIVATE BUILDING, FASSAMA ","2 1,145 - ",,"-",
45020,,"BELL BOLOMA ","PRIVATE BUILDING, BELLE BOLOMA ","2 768 - ",,"-",
45021,,"TIGGELEE ","TOWN HALL, TIGGELEE ","1 490 - ",,"-",
45022,,"GATIMA ","TOWN HALL, GATIMA ","1 447 - ",,"-",
45023,,"BELLEYALA ","TOWN HALL,BELLEYALA ","1 290 - ",,"-",
45033,,"PALAKWELLH ","TOWN HALL,PALAKWELLH TOWN ","2 852 - ",,"-",
45034,,"GUMBETA ","TOWN HALL, GUMBETA TOWN ","2 771 - ",,"-",
45035,,"ZELEKAI ","TOWN HALL,ZELEKAI TOWN ","1 441 - ",,"-",
45036,,"VENLA-1 ","TOWN HALL,VENLA-1TOWN ","1 246 - ",,"-",
45037,,"NYALOWAI ","TOWN HALL,NYALOWAI TOWN ","1 140 - ",,"-",
45038,,"GBARMGAY ","TOWN HALL,GBARMBAY,TOWN ","2 696 - ",,"-",
45039,,"MORLAKWELLEH ","TOWN HALL, MORLAKWELLEH TOWN ","2 651 - ",,"-",
45040,,"KELAGASIASU ","TOWN HALL,KELAGASIASU TOWN ","1 412 - ",,"-",
45041,,"KOLOGBANAI ","TOWN HALL,KOLOGBANAI TOWN ","2 846 - ",,"-",
45042,,"FANYANPOLU ","TOWN HALL, FANYANPOLU TOWN ","1 420 - ",,"-",
45043,,"BORLEYA ","TOWN HALL,BORLEYA TOWN ","1 313 - ",,"-",
,"COUNTY: GRAND BASSA","ELECTORAL DISTRICT: 1",,,,,
,,"Non-",,,,,
,,"General ","Non-",,,,
"Precinct ",,"Polling General Returned IDP","Returned ",,,,
"Code ","Locality Address ","Places Voters Polling ","IDPVoters",,,,
,,"Places **",,,,,
9001,"OWENSGROVE ADMINISTRATIVE BUILDING ","3 1,588 - ","-",,,,
9002,"NEEGEEWEIN PALAVA HUT ","2 762 - ","-",,,,
9003,"BOKAY'S TOWN PALAVA HUT ","2 785 - ","-",,,,
9004,"QUEHZAH TOWN PALAVA HUT ","1 277 - ","-",,,,
9005,"COLLA TREE PALAVA HUT ","1 106 - ","-",,,,
9006,"BEON TOWN PALAVA HUT ","1 148 - ","-",,,,
9007,"DOWIN TOWN PALAVA HUT ","2 703 - ","-",,,,
9008,"BARCLAYVILLE SCHOOL BUILDING ","2 766 - ","-",,,,
9009,"KPAYZOHN PALAVA HUT ","1 319 - ","-",,,,
9010,"GARPUEBUEH PALAVA HUT ","1 336 - ","-",,,,
9011,"CHUAVENENKON PALAVA HUT ","1 321 - ","-",,,,
9012,"BASSA POINT PALAVA HUT ","1 178 - ","-",,,,
9013,"COMPOUND #1 SCHOOL BUILDING ","2 622 - ","-",,,,
9014,"LITTLE BASSA PALAVA HUT ","1 543 - ","-",,,,
9015,"NORYOU TOWN PALAVA HUT ","1 502 - ","-",,,,
9016,"VAHMAH TOWN PALAVA HUT ","1 212 - ","-",,,,
