"Voting ",,,,,"General "
3026,"Goghen Palava Hut ",,"Gogehn ",631,2
3027,"Jawajeh Palava Hut ",,"Jawajeh ",641,2
3028,"Gohnzipo Town Hall ",,"Gohnzipo ",671,2
3029,"Golodee Lassana Public School ",,"Golodee ",906,2
3031,"Guie Town Hall ",,"Guie ",1014,3
3032,"Managbokai Palava Hut ",,"Managbokai ",400,1
3033,"Domagbamatina palava Hut ",,"Domagbamatina ",384,1
3035,"FefehTown Public School ",,"FefehTown ",678,2
3036,"Geveh Fahnsee Palava Hut ",,"Geveh Fahnsee ",256,1
3037,"Kowadee Palava Hut ",,"Kowadee ",124,1
3039,"Gbakendu Palava Hut ",,"Gbakendu ",191,1
3040,"Malema Town Hall ",,"Malema ",1185,3
3041,"Manjama Palava Hut ",,"Manjama ",243,1
3043,"Klay Town Hall ",,"Klay Town ",2090,5
3044,"Government Farm Klay Palava Hut ",,"Government Farm Klay ",458,1
3045,"Vortor Town Palava Hut ",,"Vortor ",387,1
3048,"Beajojo’s Clinic ",,"Beajojo’s Clinic ",637,2
3051,"Zordee Palava Hut ",,"Zordee ",591,2
3052,"Monnoh Town Hall ",,"Monnoh Town ",461,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :BOMI ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
3015,"Tulaymu Palava Hut ",,"Tulaymu ",668,2
3016,"Demeh Palava Hut ",,"Demeh ",2838,6
3017,"Bogbeh Palava Hut ",,"Bogbeh ",1280,3
3019,"Bonor Town Palava Hut ",,"Bonor ",711,2
3020,"Bowien Town Palava Hut ",,"Bowein ",1054,3
3021,"Jeon School ",,"Folley ",203,1
3022,"Dagbweh Town Hall ",,"Dagweh ",1288,3
3030,"Gonjeh Palava Hut ",,"Gonjeh ",403,1
3034,"Jenneh #3 Palava Hut ",,"Jenneh #3 ",2027,5
3038,"Gowein Palava Hut ",,"Gowein ",383,1
3046,"Weajor Town Hall ",,"Weajor ",1357,3
3050,"Zohnbaimon Palava Hut ",,"Zohnbaimon ",225,1
3053,"Quassia Town Palava Hut ",,"Quassia Town ",156,1
3054,"Big Geveh Palava Hut ",,"Big Geveh ",321,1
3055,"Gbai Palava Hut ",,"Gbai ",235,1
3056,"Gbao Palava Hut ",,"Gbao #1 ",582,2
3057,"Gbojah Palava Hut ",,"Gbojah ",867,2
3058,"Kpakla Palava Hut ",,"Kpakla ",549,2
3059,"Maloma Palava Hut ",,"Maloma ",264,1
3060,"Mecca Palava Hut ",,"Mecca ",570,2
3061,"Moila Town Hall ",,"Moila ",466,1
3062,"Sonodee Town Hall ",,"Sonodee ",410,1
3063,"Alasala Palava Hut ",,"Alasala ",1250,3
3064,"Suehn Town Hall ",,"Suehn ",937,2
3065,"Mulbah Town Hall ",,"Mulbah Town ",524,2
3066,"Zuwah Town Palava Hut ",,"Zuwah Town ",398,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :BONG ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
6001,"Baila Public School ",,"Baila Town ",1218,3
6002,"Sarworlor Public School ",,"Sarworlor Town ",629,2
6014,"Duta Town Hall ",,"Duta ",1090,3
6020,"Galai Public School ",,"Galai ",1272,3
6028,"Tarsai Palava Hut ",,"Tarsai ",895,2
6046,"Palala Public School ",,"Palala ",2615,6
6051,"Green Hill Quarry Public School ",,"Green Hill Quarry ",362,1
6052,"Zowienta Public School ",,"Zowienta ",2060,5
6078,"Zeby Public School ",,"Zebay ",1941,4
6084,"Yopea Palava Hut ",,"Yopea ",988,2
6122,"Dahn-Kan Palava Hut ",,"Dahn-Kan ",1203,3
6135,"Yolota Palava Hut ",,"Yolota(A) ",1183,3
6136,"Gold Camp Palava Hut ",,"Gold Camp ",1803,4
6137,"Doe Public School ",,"Doe ",533,2
6138,"Gbelletay Palava Hut ",,"Gbelletay ",307,1
6139,"Rock Crusher Palava Hut ",,"Rock Crusher ",810,2
6140,"Botota Public School ",,"Botota ",919,2
6141,"Gbalorkpala Public School ",,"Gbarlorkpalah ",961,2
6142,"Old Gbarta Palava Hut ",,"Old Gbarta ",1264,3
6143,"Nangbo Palava Hut ",,"Nangbo ",492,1
6144,"Tokpa-Ta Public School ",,"Tokpa-Ta ",1013,3
6145,"U-Lah Public School ",,"U-Lah ",1095,3
6146,"Gbecohn Public School ",,"Gbecohn ",1366,3
6147,"Zeo Palava Hut ",,"Zeo ",391,1
6148,"Malonkai Palava Hut ",,"Malonkai ",479,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :BONG ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
6003,"Blameyea Public School ",,"Blameyea ",763,2
6006,"Beletanta Palava Hut ",,"Beletanta ",641,2
6007,"Tolomanai Palava Hut ",,"Tolomanai ",925,2
6021,"Garwuquelleh Palava Hut ",,"Garwuquelleh ",1389,3
6045,"Gbenequelleh Public School ",,"Gbenequelleh ",1521,4
6062,"Jankpayah-Ta Palava Hut ",,"Jankpayah-Ta ",489,1
6063,"Janyea Public School ",,"Janyea ",1801,4
6071,"Kollieta-Wola Public School ",,"Kollieta-Wola ",685,2
6081,"Mano Weansue Public School ",,"Mano-Weasue ",541,2
6082,"Leleh Public School ",,"Leleh ",794,2
6083,"Bayata Public School ",,"Bayata ",863,2
6096,"Samay Public School ",,"Samay ",1024,3
6109,"Tamay-ta Public School ",,"Tammy_Ta ",635,2
6110,"Foloblah palava Hut ",,"Foloblah ",523,2
6127,"Neyanyarlah Palava Hut ",,"Neyanyarlah Town ",517,2
6128,"Yeanawoun Palava Hut ",,"Yeanawoun Town ",1355,3
6149,"Tomue Palava Hut ",,"Tomue ",811,2
6154,"J.F. Clark Kindergaten School ",,"Gbarnga ",3339,7
6157,"Lelekpayea Community School ",,"Lelekpayea Community ",1757,4
6158,"N.V. Massaquoi School ",,"Gbarnga ",3316,7
"Voting ",,,,,"General "
"Precinct ","COUNTY :BONG ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
6035,"Gbaota Public School ",,"Gbaota ",1137,3
6036,"Gbarmue Public School ",,"Gbarmue ",1065,3
6037,"Gbarnay Palava Hut ",,"Gbarnay ",406,1
6038,"Gbelekpalah Public School ",,"Gbelekpalah ",507,2
6068,"Kayata SDA Church ",,"Kayata Town ",834,2
6069,"Voloblai palava Hut ",,"Voloblai ",464,1
6074,"Kpanyea Palava Hut ",,"Kpanyea ",859,2
6075,"Jinnepeleta Public School ",,"Jinnepeleta Community ",926,2
6085,"Melekei Palava Hut ",,"Melekei ",828,2
6121,"Wainsue Public School ",,"Wainsue ",1322,3
6123,"Wongbai Palava Hut ",,"Wongbai ",495,1
6150,"Won-A-Nie School ",,"Gbarnga Barrack ",2625,6
6151,"Gboveh High School ",,"Gboveh High Community ",2282,5
6152,"John F. Barkalu School ",,"Gbarnga ",2911,6
6153,"Gbarnga Sport Stadium ",,"Millionare Quanters ",2600,6
6155,"Tubman Gary High School ",,"Methodist Compound ",3115,7
6156,"Gbarnga Sunday Market ",,"Gbarnga Sunday Market ",3315,7
"Voting ",,,,,"General "
"Precinct ","COUNTY :BONG ",,"ELECTORAL DISTRICT : 4 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
6004,"Belefanai Adm. Building ",,"Belefanai ",1845,4
6008,"Bellemu Public School ",,"Bellemu ",1567,4
6015,"Farvey Public School ",,"Farvey ",933,2
6018,"Foequelleh Public School ",,"Foequelleh ",2445,5
6019,"Gahnmue Public School ",,"Gahnmue ",1816,4
6031,"Naama Public School ",,"Naama ",1228,3
6032,"Gbansue Sulonmah Public School ",,"Gbansue Sulonmah ",1056,3
6033,"Gbalatuah Public School ",,"Gbalatuah ",1444,3
6034,"Feetuah Palava Hut ",,"Feetuah ",374,1
6039,"Gbarnga Siaquelleh Public School ",,"Gbarnga Siaquelleh ",1517,4
6049,"Gbonota Clinic ",,"Gbonota ",2259,5
6060,"Gou Palava Hut ",,"Gou II ",672,2
6064,"Paye -Ta Public School ",,"Paye -Ta ",573,2
6065,"Jorwah Public school ",,"Jorwah ",912,2
6077,"Laryea Public School ",,"Laryea ",566,2
6086,"Shankpowai Palava Hut ",,"Shankpowai I ",733,2
6088,"Nyansue Palava Hut ",,"Nyansue Two ",549,2
6092,"Kollie-TaPalava Hut ",,"Kollie-ta ",710,2
6093,"PeleleI Public School ",,"PeleleI ",656,2
6102,"Shankpallai Public School ",,"Shankpallai ",1132,3
6129,"Yowee Public School ",,"Yowee ",900,2
6130,"Mbelequah Palava Hut ",,"Mbelequah ",599,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :BONG ",,"ELECTORAL DISTRICT : 5 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
6013,"Gleannasiasue palava Hut ",,"Gleannasiasue ",1003,3
6016,"Juah Mannah Elem. School ",,"Fenutoli ",721,2
6022,"Garyea Public School ",,"Garyea II ",1232,3
6023,"Dweayeapolu Palava Hut ",,"Dowayeapolu ",193,1
6040,"Tumata Palava Hut ",,"Tumata ",594,2
6041,"David Fajue School ",,"Gbartala ",1750,4
6042,"David Fajue School ",,"Gbartala ",1772,4
6043,"Voloblai palava Hut ",,"Voloblah ",847,2
6044,"Taylor-ta Palava Hut ",,"Taylor-Ta ",1422,3
6053,"Guermue Public School ",,"Guermue Town ",745,2
6054,"Gwenimah Methodist School ",,"Gwenimah Town ",729,2
6055,"Gokai Public School ",,"Gokai Town ",859,2
6056,"Ganla Town Hall ",,"Ganla Town ",508,2
6091,"Palala Palava Hut ",,"Palala ",408,1
6100,"Sergeant Kollie Town Market ",,"Sergeant Kollie Town ",2011,5
6101,"Phebe Community ",,"Phebe Hospital Compound ",1467,3
6103,"Balamah Town Hall ",,"Balamah I ",1156,3
6104,"Cuttington University ",,"Cuttington Compound ",944,2
6105,"G.W. Gibson School ",,"Sinyea ",1325,3
6106,"Suakoko Center High ",,"Suakoko ",399,1
6107,"Suakoko Center High ",,"Suakoko ",1669,4
6108,"Flomo Wannah Elem. School ",,"Suakoko ",1716,4
6114,"Glenkormah Palava Hut ",,"Glenkormah Town ",968,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :BONG ",,"ELECTORAL DISTRICT : 6 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
6017,"Flehla Public School ",,"Flehala ",2655,6
6024,"Land Mines Action Building ",,"Tumutu ",720,2
6025,"Salala Clinic ",,"Salala ",1426,3
6026,"Martha Tubman School ",,"Salala ",1453,3
6027,"Teaslay Mission ",,"Teaslay Mission ",682,2
6048,"Gbondoi Public School ",,"Gbondoi Town ",1205,3
6050,"Gborkornemah Public School ",,"Gborkornemah ",1347,3
6057,"Quelleme Toto Elem. School ",,"Maimue Town ",1468,3
6058,"Moipa-ta Public School ",,"Moipa-ta ",1074,3
6059,"Velehyn Public School ",,"Velehyn ",819,2
6072,"Loma -ta Lutheran School ",,"Loma ",1012,3
6073,"Kpakolokoyah Public School ",,"Kpakolokoyah ",1826,4
6079,"Leilei Public School ",,"Leilei ",282,1
6099,"Sawyea Polu palava Hut ",,"Sawyea Polu Town ",587,2
6111,"Garney Public School ",,"Garney I ",408,1
6113,"Tokpaipolu Public School ",,"Tokpaipolu Town ",876,2
6115,"E.J. Yancy High School ",,"Totota ",1860,4
6116,"St. .John Lutheran School ",,"Totota ",1428,3
6117,"Upper Room High School ",,"Totota ",943,2
6118,"New Totota Community School ",,"Mulbah Farm ",1093,3
6124,"Yaniquelleh public School ",,"Yaniquelleh ",851,2
6125,"San-ta Public School ",,"San-ta ",450,1
6132,"Zeansue Public School ",,"Zeansue I ",1986,4
6133,"Kokila Palava Hut ",,"Kokila ",1253,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :BONG ",,"ELECTORAL DISTRICT : 7 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
6005,"Beletanda Palava Hut ",,"Beletanda ",812,2
6009,"Boryormah Palava Hut ",,"Boryormah One ",1170,3
6010,"St. Paul catholic School ",,"Cephas Town ",1026,3
6011,"Borlarmu Public School ",,"Degei ",856,2
6012,"Boudala Public School ",,"Boduala ",598,2
6029,"Gbamokollieta Palava Hut ",,"Gbamokollieta ",812,2
6030,"Wumai Palava Hut ",,"Wumai Town ",819,2
6047,"Gbo Gbo Ta Public School ",,"Gbo Gbo Ta ",895,2
6061,"Haindii Clinic ",,"Haindii ",1976,4
6066,"Stephen-ta Palava Hut ",,"Stephen-ta ",420,1
6067,"Kankalan Public School ",,"Kankalan Town ",686,2
6070,"Kelebei Public School ",,"Kelebei ",1020,3
6076,"Winnie-ta Public School ",,"Winnie-ta ",1040,3
6080,"Gbonokalai Palava Hut ",,"Gbonokalai Town ",518,2
6087,"Nuamue Public School ",,"Nuamue I ",502,2
6089,"Nyeablia Public School ",,"Nyeablia Town ",1614,4
6090,"Nancy B. Doe Elem. School ",,"Nyean Town ",1449,3
6094,"Piata Palava Hut ",,"Piata ",761,2
6095,"Popota Public School ",,"Popota ",1193,3
6097,"Sanoyea Lutheran School ",,"Sanoyea ",1234,3
6098,"Sanoyea Market ",,"Sanoyea ",2088,5
6112,"Samah Town Palava Hut ",,"Samah ",200,1
6119,"Lawana Public School ",,"Varnery Town ",1496,3
6120,"Volomeni Palava Hut ",,"Volomeni Town ",868,2
6126,"Yarbayeh Public School ",,"Yarbayeh Town ",1030,3
6131,"Zamkpe Yama Palava Hut ",,"Zamkpe Yama ",327,1
6134,"Gbalala Clinic ",,"Gbalala Town ",559,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :GBARPOLU ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
45009,"Bombomah Public School ",,"Bombomah ",693,2
45010,"Fallah Palava Hut ",,"Fassah ",294,1
45019,"Gbarngay School ",,"Gbarngay ",832,2
45022,"Gbaryama Town Hall ",,"Gbaryama ",913,2
45023,"Gokallah Palava Hut ",,"Gokallah ",1557,4
45033,"Gedema Public School ",,"Gedema ",906,2
45040,"Nyeamah School ",,"Nyeamah ",366,1
45048,"Tawalata Town Hall ",,"Tawalata ",280,1
45049,"Henry Town Palava Hut ",,"Henry ",2470,6
45050,"Manorwella Public School ",,"Manorwella ",202,1
45053,"Totoquelleh Public School ",,"Totoquelleh ",1170,3
45060,"Bopolu Central High School ",,"Bopolu ",3232,7
45061,"Gbarquoita Town Hall ",,"Guyan-ta ",732,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :GBARPOLU ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
45002,"Baloma Town Hall ",,"Baloma ",604,2
45008,"Belleh Yallah Public School ",,"Belleh Yallah ",851,2
45011,"FassamaTown Palava Hut ",,"Fassama ",1368,3
45012,"Gatima Town Hall ",,"Gatima ",568,2
45015,"Gbarkagborquoita Palava Hut ",,"Gbarkagborquoita Town ",577,2
45016,"Gbarkorma School ",,"Gbarkorma ",159,1
45017,"Fahnyapolu Town Hall ",,"Fahnyapolu ",451,1
45021,"Gelekpasu School ",,"Gelekpasu ",428,1
45024,"Palakwelle Palava Hut ",,"Palakwelle ",820,2
45025,"Gungbe-ta School ",,"Gungbe-ta ",301,1
45028,"Kelleh Town Hall ",,"Kelleh ",329,1
45029,"Kpawolozu School ",,"Kpawolozu ",272,1
45030,"Mavordor Palava Hut ",,"Mavordor ",492,1
45031,"Kpayeakwelle Palava Hut ",,"Kpayeakwelle ",1113,3
45035,"Moilakwelle School ",,"Moilakwelle ",864,2
45036,"Belekpalumu Palava Hut ",,"Belekpalumu ",486,1
45042,"Porkpa-Ta School ",,"Porkpa-ta ",659,2
45046,"Gelengasiasu Town Hall ",,"Gelengasiasu ",418,1
45047,"Kologbane Palava Hut ",,"Kologbane A ",973,2
45051,"Tiggelee Town Hall ",,"Tiggelee ",296,1
45052,"Kalata Town Hall ",,"Kalata ",507,2
45056,"Zalakai School ",,"Zalakai ",636,2
45057,"Nyailowai Town Hall ",,"Nyailowai ",654,2
45058,"Boliah Town Hall ",,"Boliah ",353,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GBARPOLU ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
45001,"Ballah Town Public School ",,"Ballah-Bassa ",248,1
45003,"Beaden Town Hall ",,"Beaden ",178,1
45004,"Beathou Town Hall ",,"Beathou ",103,1
45005,"Domanmana Town Hall ",,"Domanmana ",135,1
45006,"Marma Town Hall ",,"Mbama ",239,1
45007,"Beatoe Town ",,"Beatoe ",872,2
45013,"Timba Town Palava Hut ",,"Timba ",402,1
45014,"Amtel Camp Palava Hut ",,"Amtel Camp Town ",145,1
45018,"Gbarma Centra High School ",,"Gbarma ",2155,5
45020,"Gbelleta Public School ",,"Gbelleta ",599,2
45026,"Galahun Town Hall ",,"Galahun ",63,1
45027,"Bombohun Town Hall ",,"Bombohun ",65,1
45032,"Kungbor Town Hall ",,"Kungbor ",1000,2
45034,"Vaye Town (Weamawou) Public School ",,"Vaye Town ",1153,3
45037,"Njaiboi Town Hall ",,"Njaiboi Town Center ",225,1
45038,"Yangaya Town Hall ",,"Yangaya ",512,2
45039,"Nomodatanau Town Hall ",,"Nomodatanau ",1181,3
45041,"Camp Alpha Town Palava Hut ",,"Camp Alpha ",1033,3
45043,"Karnley Town Palava Hut ",,"Karnley Town ",1131,3
45044,"Tarkpoimah Town Hall ",,"Tarkpoimah ",427,1
45045,"Smith Public School ",,"Smith ",375,1
45054,"Weasua Town Hall ",,"Weasua ",1187,3
45055,"Welequa Town Hall ",,"Welequa ",265,1
45059,"Zuie School ",,"Zuie ",513,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND BASSA ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
9001,"Kpaingba Town Palava Hut ",,"Kpaingba ",254,1
9002,"Kamachea Town Palava Hut ",,"Kamachea ",510,2
9003,"Paye Town Palava Hut ",,"Paye ",318,1
9010,"Bokay Town Palava Hut ",,"Bokay ",1763,4
9011,"Jeko Town Palava Hut ",,"Jeko ",250,1
9012,"Owensgroove Administrative Building ",,"Owensgroove ",2914,6
9042,"Gozohn Town Palava Hut ",,"Gozohn ",188,1
9043,"Gbarkpeh Town Palava Hut ",,"Gbarkpeh Town ",558,2
9055,"Neegeewein Elem. School ",,"Neegeewein ",1412,3
9056,"Beon Town Palava Hut ",,"Beon ",550,2
9057,"Kpenzohn Village Palava Hut ",,"Kpenzohn Village ",465,1
9060,"Barclayville Town Palava Hut ",,"Barclayville ",896,2
9061,"Doewein Town Palava Hut ",,"Doewein ",1023,3
9062,"Chuah Viankon Town Palava Hut ",,"Chuah Viankon ",613,2
9064,"Bassa Point Town Palava Hut ",,"Bassa Point ",213,1
9065,"Kro Town Palava Hut ",,"Kro ",470,1
9079,"Zaye's Town Palava Hut ",,"Zaye's ",565,2
9080,"Kanpue Town Palava Hut ",,"Kanque ",402,1
9081,"Goesuah Town Palava Hut ",,"Goesuah ",616,2
9082,"Jacob Larteh Town Palava Hut ",,"Jacob Larteh ",936,2
9083,"Gurlee Town Palava Hut ",,"Gurlee ",144,1
9087,"Nuah Town Palava Hut ",,"Nuah ",376,1
9088,"Zoe Town Palava Hut ",,"Zoe ",389,1
9089,"Little Bassa Town Palava Hut ",,"Little Bassa ",750,2
9090,"Civil # 1 Compoound Administrative Building ",,"Civil Compoound #1 ",1122,3
9091,"Wrayn Town Palava Hut ",,"Wrayn ",156,1
9092,"Betto Token Town Palava Hut ",,"Betto Token ",244,1
9093,"Douweh Town Palava Hut ",,"Douweh/Wheeto Town ",574,2
9100,"Mondeh Town Palava Hut ",,"Mondeh ",299,1
9101,"Norr Town Palava Hut ",,"Norr Town ",512,2
9102,"Saul Village Palava Hut ",,"Saul Village ",469,1
9116,"Somah Town Palava Hut ",,"Somah ",277,1
9117,"Kutuahn School Building ",,"Kutuahn ",191,1
9118,"Kpawetro Town Palava Hut ",,"Kpawetro ",331,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND BASSA ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
9119,"Whoo's Town Palava Hut ",,"Whoo's ",375,1
9122,"Zuzohn Palava Hut ",,"Zuzohn ",224,1
9160,"Kingsville Palava Hut ",,"Kingsville ",567,2
9161,"Camp Mechlin Palava Hut ",,"Camp Mechlin ",618,2
9162,"Centrel Lloydsville Adm. Building ",,"Centrel Lloydsville ",1666,4
9163,"Wrakon Town Palava Hut ",,"Wrakon ",554,2
9168,"Bueh's Town Palava Hut ",,"Bueh's ",280,1
9169,"Diggs Town Palava Hut ",,"Diggs ",372,1
9175,"Edina City Hall ",,"Edina ",492,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND BASSA ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
9004,"Belefanna Town Palava Hut ",,"Belefanna ",562,2
9005,"Albert Town Palava Hut ",,"Albert ",299,1
9006,"Charley Gio Town Palava Hut ",,"Charley Gio ",239,1
9025,"Garneo Town Palava Hut ",,"Garneo ",896,2
9031,"Gbanah Town Palava Hut ",,"Gbanah ",433,1
9032,"Jumoi Town Palava Hut ",,"Jumoi ",568,2
9035,"Gborgar Town Palava Hut ",,"Gborgar ",345,1
9036,"Bohn Town Palava Hut ",,"Bohn ",410,1
9040,"Boeglay Town Palava Hut ",,"Boeglay ",515,2
9041,"Whergbo Town Palava Hut ",,"Whergbo ",448,1
9053,"Kpelleh Zahn Town Palava Hut ",,"Kpelleh Zahn ",749,2
9054,"Quejay Town Palava Hut ",,"Quejay ",611,2
9058,"Johnny Diggs Town Palava Hut ",,"Johnny Diggs ",460,1
9059,"Jacob Town Palava Hut ",,"Jacob ",403,1
9063,"Womia Town Palava Hut ",,"Womia ",505,2
9066,"Ballahwein Town Palava Hut ",,"Ballahwein ",412,1
9067,"Buahwein Town Palava Hut ",,"Buahwein ",162,1
9068,"Civil Compound # 2 Administrative Building ",,"Civil Compound ",1245,3
9069,"Kotarr Town Palava Hut ",,"Kotarr ",280,1
9070,"S.D.A Mission School Building ",,"S.D.A Mission ",387,1
9071,"Tepenneh Town Palava Hut ",,"Tepenneh ",425,1
9072,"Teekpor School Building ",,"Teekpor ",285,1
9073,"Zahn Town Palava Hut ",,"Zahn ",609,2
9074,"Palapolu Town Palava Hut ",,"Palapolu ",301,1
9075,"Daniel Town Palava Hut ",,"Daniel ",266,1
9078,"Molon Town Palava Hut ",,"Molon ",520,2
9103,"Senyah Town Palava Hut ",,"Senyah ",1017,3
9104,"Karngbopue Town Palava Hut ",,"Karngbopue ",464,1
9136,"Passing Village Palava Hut ",,"Passing Village ",347,1
9137,"Zekar Palava Hut ",,"Zekar ",187,1
9138,"Fortsville School Building ",,"Fortsville ",1071,3
9139,"Frazier Town Palava Hut ",,"Frazier ",643,2
9140,"Waka Town Palava Hut ",,"Waka ",1063,3
9143,"Rev. Gardiner School ",,"Picker Town ",465,1
9144,"Keliby Palava Hut ",,"Keliby Town ",295,1
9145,"Joseph M.N Gbadyu School ",,"Taye Town ",674,2
9146,"James Henry's Town Palava Hut ",,"James Henry ",812,2
9147,"Barduah School Building ",,"Barduah ",546,2
9148,"Blagbahn Palava Hut ",,"Blagbahn ",466,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND BASSA ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
9149,"Moncray Town Palava Hut ",,"Moncray ",740,2
9150,"Wheigo Town Palava Hut ",,"Wheigo ",647,2
9164,"Gaye Gbokone Town Palava Hut ",,"Gonnigar ",382,1
9165,"Zammie Town Palava Hut ",,"Zammie ",476,1
9166,"Zegar Town Palava Hut ",,"Zegar ",357,1
9167,"Tutu Town School Building ",,"Tutu ",396,1
9170,"Noway Town School Building ",,"Noway ",168,1
9171,"Bowine Town School Building ",,"Bowine ",183,1
9172,"Juah Town School Building ",,"Juah ",718,2
9173,"Dennis Town Palava Hut ",,"Dennis ",197,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND BASSA ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
9123,"Christian High School ",,"Central Buchanan ",1067,3
9124,"Parish Day School ",,"Preston/Roberts Streets ",1666,4
9125,"Pillar of Fire School ",,"Otis Spot Community ",1320,3
9126,"Korduah Community Hall ",,"Sugar Cane Farm ",1087,3
9127,"Bassa High School ",,"Tinway Town Community ",2877,6
9128,"County Administrative Building ",,"Dirt Hole Community ",1986,4
9129,"Biafra Community Hall ",,"Sayepue Community ",2544,6
9130,"W.P.L Brumskine Methodist School ",,"Old Field Community ",1409,3
9131,"Moore's Town Community Palava Hut ",,"Moore's Town Community ",756,2
9132,"Gorzohn Community Hall ",,"Gorzohn Community ",2291,5
9133,"Unification Pavillion ",,"Fair Ground ",2589,6
9134,"P.C.S Christian Elem. School ",,"Corn Farm Community ",2256,5
9135,"Upper Buchanan Clinic ",,"Upper Buchanan Community ",210,1
9152,"Own Your Own Palava Hut ",,"Own Your Own ",397,1
9153,"James Travis Elem. School ",,"Pearchzohn ",1758,4
9155,"Watco Camp Palava Hut ",,"Watco Camp ",2121,5
